编号ID 	名称	类型	经验	铜钱最小	铜钱最大	荣誉	VIP经验	官员值	影子	体力	元宝	种类最小	种类最大	物品	
1030	濮阳10	1	144	100	144	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1031	小沛1	1	144	105	150	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1032	小沛2	1	150	105	150	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1033	小沛3	1	150	105	150	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1034	小沛4	1	150	105	150	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1035	小沛5	1	150	109	156	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1036	小沛6	1	170	109	156	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1037	小沛7	1	170	109	156	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1038	小沛8	1	170	109	156	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1039	小沛9	1	170	113	162	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1040	小沛10	1	180	113	162	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1041	北海1	1	180	113	162	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1042	北海2	1	180	113	162	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1043	北海3	1	180	119	170	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1044	北海4	1	192	119	170	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1045	北海5	1	192	119	170	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1046	北海6	1	192	119	170	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1047	北海7	1	192	124	178	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1048	北海8	1	195	124	178	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1049	北海9	1	195	124	178	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1050	北海10	1	195	124	178	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1051	东武1	1	200	130	186	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1052	东武2	1	200	130	186	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1053	东武3	1	200	130	186	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1054	东武4	1	200	130	186	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1055	东武5	1	210	135	194	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1056	东武6	1	210	135	194	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1057	东武7	1	210	135	194	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1058	东武8	1	210	135	194	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1059	东武9	1	228	141	202	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1060	东武10	1	228	141	202	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1061	下邳1	1	228	141	202	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1062	下邳2	1	228	141	202	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1063	下邳3	1	240	148	212	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1064	下邳4	1	240	148	212	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1065	下邳5	1	240	148	212	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1066	下邳6	1	240	148	212	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1067	下邳7	1	250	155	222	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1068	下邳8	1	250	155	222	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1069	下邳9	1	250	155	222	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1070	下邳10	1	250	155	222	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1071	乌江1	1	264	162	232	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1072	乌江2	1	264	162	232	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1073	乌江3	1	264	162	232	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1074	乌江4	1	264	162	232	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1075	乌江5	1	270	169	242	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1076	乌江6	1	270	169	242	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1077	乌江7	1	270	169	242	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1078	乌江8	1	270	169	242	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1079	乌江9	1	280	177	254	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1080	乌江10	1	280	177	254	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1081	寿春1	1	280	177	254	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1082	寿春2	1	280	177	254	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1083	寿春3	1	300	186	266	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1084	寿春4	1	300	186	266	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1085	寿春5	1	300	186	266	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1086	寿春6	1	300	186	266	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1087	寿春7	1	310	194	278	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1088	寿春8	1	310	194	278	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1089	寿春9	1	310	194	278	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1090	寿春10	1	310	194	278	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1091	石亭1	1	312	203	290	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1092	石亭2	1	312	203	290	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1093	石亭3	1	312	203	290	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1094	石亭4	1	312	203	290	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1095	石亭5	1	340	212	304	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1096	石亭6	1	340	212	304	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1097	石亭7	1	340	212	304	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1098	石亭8	1	340	212	304	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1099	石亭9	1	345	222	318	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1100	石亭10	1	345	222	318	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1101	庐江1	1	345	222	318	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1102	庐江2	1	345	222	318	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1103	庐江3	1	348	232	332	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1104	庐江4	1	348	232	332	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1105	庐江5	1	348	232	332	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1106	庐江6	1	348	232	332	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1107	庐江7	1	350	250	358	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1108	庐江8	1	350	250	358	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1109	庐江9	1	350	250	358	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1110	庐江10	1	350	250	358	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1111	建邺1	1	370	254	364	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1112	建邺2	1	370	254	364	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1113	建邺3	1	370	254	364	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1114	建邺4	1	370	254	364	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1115	建邺5	1	380	267	382	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1116	建邺6	1	380	267	382	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1117	建邺7	1	380	267	382	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1118	建邺8	1	380	267	382	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1119	建邺9	1	384	280	400	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1120	建邺10	1	384	280	400	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1121	吴郡1	1	384	280	400	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1122	吴郡2	1	384	280	400	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1123	吴郡3	1	400	294	420	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1124	吴郡4	1	400	294	420	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1125	吴郡5	1	400	294	420	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1126	吴郡6	1	400	294	420	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1127	吴郡7	1	410	308	440	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1128	吴郡8	1	410	308	440	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1129	吴郡9	1	410	308	440	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1130	吴郡10	1	410	308	440	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1131	丹阳1	1	432	323	462	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1132	丹阳2	1	432	323	462	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1133	丹阳3	1	432	323	462	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1134	丹阳4	1	432	323	462	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1135	丹阳5	1	440	338	484	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1136	丹阳6	1	440	338	484	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1137	丹阳7	1	440	338	484	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1138	丹阳8	1	440	338	484	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1139	丹阳9	1	450	355	508	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1140	丹阳10	1	450	355	508	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1141	会稽1	1	450	355	508	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1142	会稽2	1	450	355	508	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1143	会稽3	1	468	372	532	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1144	会稽4	1	468	372	532	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1145	会稽5	1	468	372	532	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1146	会稽6	1	468	372	532	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1147	会稽7	1	470	390	558	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1148	会稽8	1	470	390	558	0	0	0	0	0	0	1	2	"(8042,10,1,1)(1001,40,1,2)(5001,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1149	会稽9	1	470	390	558	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1150	会稽10	1	470	390	558	0	0	0	0	0	0	1	2	"(8042,10,1,1)(25001,40,1,2)(1003,15,1,2)(8043,10,1,1)(9001,70,1,2)"	
1151	邺城1	1	480	408	584	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1152	邺城2	1	480	408	584	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1153	邺城3	1	480	408	584	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1154	邺城4	1	480	408	584	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1155	邺城5	1	495	428	612	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1156	邺城6	1	495	428	612	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1157	邺城7	1	495	428	612	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1158	邺城8	1	495	428	612	0	0	0	0	0	0	1	2	"(4001,5,1,2)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1159	邺城9	1	500	449	642	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1160	邺城10	1	500	449	642	0	0	0	0	0	0	1	2	"(4001,5,1,2)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
