装备类型	装备等级	强化消耗
4	72	23040
4	73	23670
4	74	24300
4	75	24930
4	76	25560
4	77	26190
4	78	26820
4	79	27450
4	80	28125
4	81	28890
4	82	29655
4	83	30420
4	84	31185
4	85	31950
4	86	32715
4	87	33480
4	88	34245
4	89	35010
4	90	35910
4	91	36810
4	92	37710
4	93	38610
4	94	39510
4	95	40410
4	96	41310
4	97	42210
4	98	43110
4	99	44010
4	100	45090
4	101	46170
4	102	47250
4	103	48330
4	104	49410
4	105	50490
4	106	51570
4	107	52650
4	108	53730
4	109	54810
4	110	56160
4	111	57510
4	112	58860
4	113	60210
4	114	61560
4	115	62910
4	116	64260
4	117	65610
4	118	66960
4	119	68310
4	120	69660
5	1	225
5	2	337
5	3	450
5	4	562
5	5	675
5	6	787
5	7	900
5	8	1012
5	9	1125
5	10	1462
5	11	1800
5	12	2137
5	13	2475
5	14	2812
5	15	3150
5	16	3487
5	17	3825
5	18	4162
5	19	4500
5	20	5062
5	21	5625
5	22	6187
5	23	6750
5	24	7312
5	25	7875
5	26	8437
5	27	9000
5	28	9562
5	29	10125
5	30	10912
5	31	11700
5	32	12487
5	33	13275
5	34	14062
5	35	14850
5	36	15637
5	37	16425
5	38	17212
5	39	18000
5	40	19012
5	41	20025
5	42	21037
5	43	22050
5	44	23062
5	45	24075
5	46	25087
5	47	26100
5	48	27112
5	49	28125
5	50	29362
5	51	30600
5	52	31837
5	53	33075
5	54	34312
5	55	35550
5	56	36787
5	57	38025
5	58	39262
5	59	40500
5	60	41737
5	61	42975
5	62	44212
5	63	45450
5	64	46687
5	65	47925
5	66	49162
5	67	50400
5	68	51637
5	69	52875
5	70	54450
5	71	56025
5	72	57600
5	73	59175
5	74	60750
5	75	62325
5	76	63900
5	77	65475
5	78	67050
5	79	68625
5	80	70312
5	81	72225
5	82	74137
5	83	76050
5	84	77962
5	85	79875
5	86	81787
5	87	83700
5	88	85612
5	89	87525
5	90	89775
5	91	92025
5	92	94275
5	93	96525
5	94	98775
5	95	101025
5	96	103275
5	97	105525
5	98	107775
5	99	110025
5	100	112725
5	101	115425
5	102	118125
5	103	120825
5	104	123525
5	105	126225
5	106	128925
5	107	131625
5	108	134325
5	109	137025
5	110	140400
5	111	143775
5	112	147150
5	113	150525
5	114	153900
5	115	157275
5	116	160650
5	117	164025
5	118	167400
5	119	170775
5	120	174150
6	1	45
6	2	67
6	3	90
6	4	112
6	5	135
6	6	157
6	7	180
6	8	202
6	9	225
6	10	292
6	11	360
6	12	427
6	13	495
6	14	562
6	15	630
6	16	697
6	17	765
6	18	832
6	19	900
6	20	1012
6	21	1125
6	22	1237
6	23	1350
6	24	1462
6	25	1575
6	26	1687
6	27	1800
6	28	1912
6	29	2025
6	30	2182
6	31	2340
6	32	2497
6	33	2655
6	34	2812
6	35	2970
6	36	3127
6	37	3285
6	38	3442
6	39	3600
6	40	3802
6	41	4005
6	42	4207
6	43	4410
6	44	4612
6	45	4815
6	46	5017
6	47	5220
6	48	5422
6	49	5625
6	50	5872
6	51	6120
6	52	6367
6	53	6615
6	54	6862
6	55	7110
6	56	7357
6	57	7605
6	58	7852
6	59	8100
6	60	8347
6	61	8595
6	62	8842
6	63	9090
6	64	9337
6	65	9585
6	66	9832
6	67	10080
6	68	10327
6	69	10575
6	70	10890
6	71	11205
6	72	11520
6	73	11835
6	74	12150
6	75	12465
6	76	12780
6	77	13095
6	78	13410
6	79	13725
6	80	14062
6	81	14445
6	82	14827
6	83	15210
6	84	15592
6	85	15975
6	86	16357
6	87	16740
6	88	17122
6	89	17505
6	90	17955
6	91	18405
6	92	18855
6	93	19305
6	94	19755
6	95	20205
6	96	20655
6	97	21105
6	98	21555
6	99	22005
6	100	22545
6	101	23085
6	102	23625
6	103	24165
6	104	24705
6	105	25245
6	106	25785
6	107	26325
6	108	26865
6	109	27405
6	110	28080
6	111	28755
6	112	29430
6	113	30105
6	114	30780
6	115	31455
6	116	32130
6	117	32805
6	118	33480
6	119	34155
6	120	34830
7	1	180
7	2	270
7	3	360
7	4	450
7	5	540
7	6	630
7	7	720
7	8	810
7	9	900
7	10	1170
7	11	1440
7	12	1710
7	13	1980
7	14	2250
7	15	2520
7	16	2790
7	17	3060
7	18	3330
7	19	3600
7	20	4050
7	21	4500
7	22	4950
7	23	5400
7	24	5850
7	25	6300
7	26	6750
7	27	7200
7	28	7650
7	29	8100
7	30	8730
7	31	9360
7	32	9990
7	33	10620
7	34	11250
7	35	11880
7	36	12510
7	37	13140
7	38	13770
7	39	14400
7	40	15210
7	41	16020
7	42	16830
7	43	17640
7	44	18450
7	45	19260
7	46	20070
7	47	20880
7	48	21690
7	49	22500
7	50	23490
7	51	24480
7	52	25470
7	53	26460
7	54	27450
7	55	28440
7	56	29430
7	57	30420
7	58	31410
7	59	32400
7	60	33390
7	61	34380
7	62	35370
7	63	36360
7	64	37350
7	65	38340
7	66	39330
7	67	40320
7	68	41310
7	69	42300
7	70	43560
7	71	44820
7	72	46080
7	73	47340
7	74	48600
7	75	49860
7	76	51120
7	77	52380
7	78	53640
7	79	54900
7	80	56250
7	81	57780
7	82	59310
7	83	60840
7	84	62370
7	85	63900
7	86	65430
7	87	66960
7	88	68490
7	89	70020
7	90	71820
7	91	73620
7	92	75420
7	93	77220
7	94	79020
7	95	80820
7	96	82620
7	97	84420
7	98	86220
7	99	88020
7	100	90180
7	101	92340
7	102	94500
7	103	96660
7	104	98820
7	105	100980
7	106	103140
7	107	105300
7	108	107460
7	109	109620
7	110	112320
7	111	115020
7	112	117720
7	113	120420
7	114	123120
7	115	125820
7	116	128520
7	117	131220
7	118	133920
7	119	136620
7	120	139320
8	1	180
8	2	270
8	3	360
8	4	450
8	5	540
8	6	630
8	7	720
8	8	810
8	9	900
8	10	1170
8	11	1440
8	12	1710
8	13	1980
8	14	2250
8	15	2520
8	16	2790
8	17	3060
8	18	3330
8	19	3600
8	20	4050
8	21	4500
8	22	4950
8	23	5400
8	24	5850
8	25	6300
8	26	6750
8	27	7200
8	28	7650
8	29	8100
8	30	8730
8	31	9360
8	32	9990
8	33	10620
8	34	11250
8	35	11880
8	36	12510
8	37	13140
8	38	13770
8	39	14400
8	40	15210
8	41	16020
8	42	16830
8	43	17640
8	44	18450
8	45	19260
8	46	20070
8	47	20880
8	48	21690
8	49	22500
8	50	23490
8	51	24480
8	52	25470
8	53	26460
8	54	27450
8	55	28440
8	56	29430
8	57	30420
8	58	31410
8	59	32400
8	60	33390
8	61	34380
8	62	35370
8	63	36360
8	64	37350
8	65	38340
8	66	39330
8	67	40320
8	68	41310
8	69	42300
8	70	43560
8	71	44820
8	72	46080
8	73	47340
8	74	48600
8	75	49860
8	76	51120
8	77	52380
8	78	53640
8	79	54900
8	80	56250
8	81	57780
8	82	59310
8	83	60840
8	84	62370
8	85	63900
8	86	65430
8	87	66960
8	88	68490
8	89	70020
8	90	71820
8	91	73620
8	92	75420
8	93	77220
8	94	79020
8	95	80820
8	96	82620
8	97	84420
8	98	86220
8	99	88020
8	100	90180
8	101	92340
8	102	94500
8	103	96660
8	104	98820
8	105	100980
8	106	103140
8	107	105300
8	108	107460
8	109	109620
8	110	112320
8	111	115020
8	112	117720
8	113	120420
8	114	123120
8	115	125820
8	116	128520
8	117	131220
8	118	133920
8	119	136620
8	120	139320
9	1	180
9	2	270
9	3	360
9	4	450
9	5	540
9	6	630
9	7	720
9	8	810
9	9	900
9	10	1170
9	11	1440
9	12	1710
9	13	1980
9	14	2250
9	15	2520
9	16	2790
9	17	3060
9	18	3330
9	19	3600
9	20	4050
9	21	4500
9	22	4950
9	23	5400
9	24	5850
9	25	6300
9	26	6750
9	27	7200
9	28	7650
9	29	8100
9	30	8730
9	31	9360
9	32	9990
9	33	10620
9	34	11250
9	35	11880
9	36	12510
9	37	13140
9	38	13770
9	39	14400
9	40	15210
9	41	16020
9	42	16830
9	43	17640
9	44	18450
9	45	19260
9	46	20070
9	47	20880
9	48	21690
9	49	22500
9	50	23490
9	51	24480
9	52	25470
9	53	26460
9	54	27450
9	55	28440
9	56	29430
9	57	30420
9	58	31410
9	59	32400
9	60	33390
9	61	34380
9	62	35370
9	63	36360
9	64	37350
9	65	38340
9	66	39330
9	67	40320
9	68	41310
9	69	42300
9	70	43560
9	71	44820
9	72	46080
9	73	47340
9	74	48600
9	75	49860
9	76	51120
9	77	52380
9	78	53640
9	79	54900
9	80	56250
9	81	57780
9	82	59310
9	83	60840
9	84	62370
9	85	63900
9	86	65430
9	87	66960
9	88	68490
9	89	70020
9	90	71820
9	91	73620
9	92	75420
9	93	77220
9	94	79020
9	95	80820
9	96	82620
9	97	84420
9	98	86220
9	99	88020
9	100	90180
9	101	92340
9	102	94500
9	103	96660
9	104	98820
9	105	100980
9	106	103140
9	107	105300
9	108	107460
9	109	109620
9	110	112320
9	111	115020
9	112	117720
9	113	120420
9	114	123120
9	115	125820
9	116	128520
9	117	131220
9	118	133920
9	119	136620
9	120	139320
