编号ID 	物品	最少	最多
0	25040	1	1
0	25013	1	1
0	25022	1	1
0	25031	1	1
50023	0	0	0
0	30019	1	1
0	30009	1	1
0	30004	1	1
0	30003	1	1
0	30037	1	1
0	30007	1	1
0	30010	1	1
50024	0	0	0
0	30003	1	1
0	30005	1	1
0	30010	1	1
0	20022	1	1
50025	0	0	0
0	30012	1	1
0	30034	2	2
50026	0	0	0
0	30009	5	5
0	30011	1	1
0	15001	1	1
0	20022	1	1
0	30033	3	3
50027	0	0	0
0	30019	1	1
0	30009	1	1
0	30004	1	1
0	30003	1	1
0	30001	1	1
0	30002	1	1
0	30006	1	1
0	30033	3	3
50028	0	0	0
0	30011	1	1
0	20044	1	1
0	30009	1	1
0	30029	3	3
0	20045	1	1
0	20046	1	1
50029	0	0	0
0	30002	1	1
0	30007	6	6
0	30004	1	1
50030	0	0	0
0	30002	2	2
0	30007	10	20
0	30009	10	15
0	30004	2	2
50031	0	0	0
0	30003	1	1
0	30007	20	20
0	30009	6	6
0	30005	1	1
50032	0	0	0
0	30003	2	2
0	30007	40	40
0	30009	30	30
0	30005	1	1
50033	0	0	0
0	30003	5	5
0	30007	60	60
0	30009	105	105
0	30005	5	5
50034	0	0	0
0	30003	30	30
0	30007	80	80
50035	0	0	0
0	30005	40	40
0	30007	200	200
50036	0	0	0
0	30003	50	50
0	30007	200	200
0	30009	350	350
50037	0	0	0
0	30003	35	35
0	30007	300	300
0	30009	700	700
0	30005	15	15
50038	0	0	0
0	30003	50	50
0	30007	500	500
0	30009	1200	1200
0	30005	20	20
50039	0	0	0
0	30007	5000	5000
0	30009	300	300
0	30005	35	35
0	30003	35	35
50040	0	0	0
0	30028	60	60
0	30007	2500	2500
0	30005	100	100
0	30003	100	100
50041	0	0	0
0	30028	60	60
0	30007	2500	2500
0	30005	100	100
0	30003	100	100
50042	0	0	0
0	30028	60	60
0	30007	2500	2500
0	30005	100	100
0	30003	100	100
50043	0	0	0
0	30028	60	60
0	30007	2500	2500
0	30005	100	100
0	30003	100	100
50044	0	0	0
0	35010	10	10
0	35028	10	10
0	35046	10	10
50045	0	0	0
0	35001	10	10
0	35019	10	10
0	35037	10	10
50046	0	0	0
0	35055	10	10
0	35064	10	10
0	35073	10	10
50047	0	0	0
0	15057	1	1
0	30009	30	30
0	30007	50	50
0	30012	3	3
0	30002	15	15
50048	0	0	0
0	15003	10	10
0	15004	10	10
0	15005	10	10
0	15006	10	10
0	15007	10	10
50049	0	0	0
0	30007	1	1
50050	0	0	0
0	30007	1	1
0	30006	1	1
0	30001	1	1
50051	0	0	0
0	30007	2	2
0	30006	1	1
0	30001	2	2
50052	0	0	0
0	30009	1	1
0	30007	2	2
0	30002	1	1
0	30004	1	1
50053	0	0	0
0	30009	2	2
0	30007	2	2
0	30003	1	1
50054	0	0	0
0	30009	5	5
0	30003	2	2
0	30005	1	1
50055	0	0	0
0	30009	7	7
0	30003	1	1
0	30005	1	1
0	15001	1	1
50056	0	0	0
0	30009	10	10
0	30003	2	2
0	30005	2	2
0	15001	2	2
50057	0	0	0
0	30009	12	12
0	30003	3	3
0	30005	3	3
0	15001	3	3
50058	0	0	0
0	30009	15	15
0	30003	4	4
0	30005	4	4
0	15002	1	1
50059	0	0	0
0	30009	30	30
0	30003	4	4
0	20022	1	1
0	15002	2	2
50060	0	0	0
0	30009	30	30
0	30003	4	4
0	30028	1	1
0	15002	2	2
50061	0	0	0
0	30009	30	30
0	30003	4	4
0	30028	1	1
0	15002	2	 
50062	0	0	0
0	30009	30	30
0	30003	4	4
0	30028	1	1
0	15002	2	2
50063	0	0	0
0	30009	30	30
0	30003	4	4
0	30028	1	1
0	15002	2	2
50064	0	0	0
0	2	500	500
0	30007	1	1
50065	0	0	0
0	2	800	800
0	30001	1	1
0	30007	2	2
50066	0	0	0
0	2	1000	1000
0	30009	2	2
0	30001	2	2
50067	0	0	0
0	2	1500	1500
0	30009	2	2
0	30007	2	2
0	30006	2	2
50068	0	0	0
0	2	2000	2000
0	30007	3	3
0	30009	2	2
0	30002	1	1
50069	0	0	0
0	2	3000	3000
0	30002	2	2
0	2	2	2
50070	0	0	0
0	2	4000	4000
0	30002	2	2
0	30007	5	5
0	15001	1	1
50071	0	0	0
0	2	5000	5000
0	30003	1	1
0	30007	10	10
0	15001	1	1
50072	0	0	0
0	2	10000	10000
0	30009	3	3
0	30007	2	2
0	30006	1	1
0	30004	1	1
50073	0	0	0
0	2	20000	20000
0	30002	2	2
0	30004	2	2
50074	0	0	0
0	2	20000	20000
0	30002	3	3
0	30004	2	2
0	15001	1	1
0	1	20	20
50075	0	0	0
0	2	40000	40000
0	30009	10	10
0	15001	2	2
0	2	50	50
50076	0	0	0
0	2	40000	40000
0	30009	15	15
0	15001	3	3
0	1	100	100
50077	0	0	0
0	2	40000	40000
0	30002	3	3
0	30009	20	20
0	15001	4	4
0	15002	4	4
0	30004	2	2
0	1	100	100
50078	0	0	0
0	30003	2	2
0	30005	2	2
0	30007	10	10
0	30009	10	10
0	30008	2	2
50078	0	0	0
0	30002	2	2
0	30004	2	2
0	30007	3	3
0	30009	2	2
0	30008	1	1
50501	0	0	0
0	3	132	132
0	2	280	280
0	6	2	2
50502	0	0	0
0	3	165	165
0	2	294	294
0	30007	2	2
50503	0	0	0
0	3	198	198
0	2	308	308
0	6	2	2
50504	0	0	0
0	3	231	231
0	2	323	323
0	6	2	2
0	25013	1	1
50505	0	0	0
0	3	264	264
0	2	338	338
0	30007	2	2
50506	0	0	0
0	3	247	247
0	2	355	355
0	6	2	2
50507	0	0	0
0	3	275	275
0	2	372	372
0	6	2	2
0	30007	3	3
0	15001	1	1
50508	0	0	0
0	3	302	302
0	2	390	390
0	6	2	2
50509	0	0	0
0	3	330	330
0	2	408	408
0	30007	4	4
50510	0	0	0
0	3	357	357
0	2	428	428
0	6	2	2
0	25022	1	1
50511	0	0	0
0	3	512	512
0	2	449	449
0	30007	5	5
50512	0	0	0
0	3	550	550
0	2	471	471
50513	0	0	0
0	3	586	586
0	2	494	494
0	30007	6	6
0	15001	1	1
50514	0	0	0
0	3	622	622
0	2	518	518
50515	0	0	0
0	3	660	660
0	2	543	543
0	25040	1	1
50516	0	0	0
0	3	1045	1045
0	2	569	569
0	30007	7	7
50517	0	0	0
0	3	1100	1100
0	2	597	597
50518	0	0	0
0	3	1155	1155
0	2	627	627
0	30007	8	8
0	15001	2	2
50519	0	0	0
0	3	1210	1210
0	2	658	658
50520	0	0	0
0	3	1265	1265
0	2	690	690
0	30007	9	9
0	25031	1	1
50521	0	0	0
0	3	1056	1056
0	2	723	723
50522	0	0	0
0	3	1100	1100
0	2	758	758
0	30007	10	10
50523	0	0	0
0	3	1144	1144
0	2	796	796
0	15001	3	3
50524	0	0	0
0	3	1188	1188
0	2	835	835
0	30007	11	11
50525	0	0	0
0	3	1232	1232
0	2	876	876
0	25004	1	1
50526	0	0	0
0	3	1914	1914
0	2	919	919
50527	0	0	0
0	3	1980	1980
0	2	964	964
0	30007	12	12
50528	0	0	0
0	3	2046	2046
0	2	1012	1012
0	15001	3	3
50529	0	0	0
0	3	1920	1920
0	2	1062	1062
0	30007	13	13
50530	0	0	0
0	3	1980	1980
0	2	1114	1114
50531	0	0	0
0	3	3400	3400
0	2	1169	1169
0	30007	14	14
50532	0	0	0
0	3	3500	3500
0	2	1226	1226
50533	0	0	0
0	3	3600	3600
0	2	1286	1286
0	30007	15	15
0	25004	1	1
50534	0	0	0
0	3	3700	3700
0	2	1349	1349
50535	0	0	0
0	3	3800	3800
0	2	1416	1416
0	30007	16	16
50536	0	0	0
0	3	4875	4875
0	2	1486	1486
50537	0	0	0
0	3	5000	5000
0	2	1561	1561
50538	0	0	0
0	3	5125	5125
0	2	1638	1638
0	30007	17	17
0	15001	2	2
50539	0	0	0
0	3	5250	5250
0	2	1719	1719
50540	0	0	0
0	3	5375	5375
0	2	1804	1804
0	30007	18	18
50541	0	0	0
0	3	6160	6160
0	2	1894	1894
50542	0	0	0
0	3	6300	6300
0	2	1988	1988
0	30007	19	19
50543	0	0	0
0	3	6440	6440
0	2	2087	2087
0	25013	1	1
50544	0	0	0
0	3	6580	6580
0	2	2191	2191
0	30007	20	20
50545	0	0	0
0	3	6270	6270
0	2	2300	2300
50546	0	0	0
0	3	7717	7717
0	2	2415	2415
0	30007	21	21
50547	0	0	0
0	3	7875	7875
0	2	2535	2535
50548	0	0	0
0	3	8032	8032
0	2	2661	2661
0	30007	22	22
0	15001	2	2
50549	0	0	0
0	3	8190	8190
0	2	2794	2794
50550	0	0	0
0	3	8347	8347
0	2	2933	2933
0	30007	23	23
50551	0	0	0
0	3	3150	3150
0	2	3078	3078
50552	0	0	0
0	3	3208	3208
0	2	3231	3231
0	30007	24	24
50553	0	0	0
0	3	3266	3266
0	2	3392	3392
50554	0	0	0
0	3	3325	3325
0	2	3561	3561
0	30007	25	25
0	25022	1	1
50555	0	0	0
0	2	3383	3383
0	30007	3739	3739
50556	0	0	0
0	3	4160	4160
0	2	3925	3925
0	30007	25	25
50557	0	0	0
0	3	4200	4200
0	2	4121	4121
50558	0	0	0
0	3	4270	4270
0	2	4327	4327
0	30007	25	25
50559	0	0	0
0	3	4340	4340
0	2	4543	4543
50560	0	0	0
0	3	3150	3150
0	2	4769	4769
0	30007	25	25
0	15001	2	2
50561	0	0	0
0	3	3733	3733
0	2	5007	5007
50562	0	0	0
0	3	3791	3791
0	2	5257	5257
0	30007	25	25
50563	0	0	0
0	3	3850	3850
0	2	5518	5518
50564	0	0	0
0	3	3908	3908
0	2	5794	5794
0	30007	25	25
50565	0	0	0
0	3	3966	3966
0	2	6083	6083
0	25040	1	1
50566	0	0	0
0	3	4600	4600
0	2	6386	6386
0	30007	25	25
50567	0	0	0
0	3	4666	4666
0	2	6706	6706
50568	0	0	0
0	3	4733	4733
0	2	7040	7040
0	30007	25	25
50569	0	0	0
0	3	4800	4800
0	2	7392	7392
50570	0	0	0
0	3	4866	4866
0	2	7761	7761
0	30007	25	25
50571	0	0	0
0	3	5550	5550
0	2	8149	8149
50572	0	0	0
0	3	5625	5625
0	2	8556	8556
0	30007	25	25
50573	0	0	0
0	3	5700	5700
0	2	8983	8983
0	15001	2	2
50574	0	0	0
0	3	5775	5775
0	2	9431	9431
0	30007	25	25
50575	0	0	0
0	3	5850	5850
0	2	9902	9902
50576	0	0	0
0	3	6583	6583
0	2	10396	10396
0	30007	25	25
50577	0	0	0
0	3	6666	6666
0	2	10915	10915
50578	0	0	0
0	3	6750	6750
0	2	11460	11460
0	30007	25	25
50579	0	0	0
0	3	6833	6833
0	2	12033	12033
50580	0	0	0
0	3	6916	6916
0	2	12633	12633
0	30007	25	25
0	25031	1	1
50581	0	0	0
0	3	4800	4800
0	2	13265	13265
50582	0	0	0
0	3	4857	4857
0	2	13927	13927
0	30007	25	25
50583	0	0	0
0	3	4914	4914
0	2	14623	14623
50584	0	0	0
0	3	4971	4971
0	2	15353	15353
0	30007	25	25
50585	0	0	0
0	3	5028	5028
0	2	16121	16121
50586	0	0	0
0	3	5933	5933
0	2	16926	16926
0	30007	25	25
50587	0	0	0
0	3	6000	6000
0	2	17771	17771
50588	0	0	0
0	3	6066	6066
0	2	18659	18659
0	30007	25	25
0	15001	2	2
50589	0	0	0
0	3	6133	6133
0	2	19591	19591
50590	0	0	0
0	3	6200	6200
0	2	20570	20570
0	30007	25	25
50591	0	0	0
0	3	7161	7161
0	2	21597	21597
50592	0	0	0
0	3	7238	7238
0	2	22677	22677
0	30007	25	25
50593	0	0	0
0	3	7314	7314
0	2	21809	21809
50594	0	0	0
0	3	7390	7390
0	2	24999	24999
0	30007	25	25
50595	0	0	0
0	3	7466	7466
0	2	26248	26248
0	15002	1	1
50596	0	0	0
0	3	9428	9428
0	2	27560	27560
0	30007	25	25
50597	0	0	0
0	3	9523	9523
0	2	28938	28938
50598	0	0	0
0	3	9619	9619
0	2	30384	30384
0	30007	25	25
50599	0	0	0
0	3	9714	9714
0	2	31903	31903
50600	0	0	0
0	3	16186	16186
0	2	33497	33497
0	30007	25	25
50601	0	0	0
0	3	16187	16187
0	2	33497	33497
50602	0	0	0
0	3	16188	16188
0	2	33497	33497
0	30007	25	25
50603	0	0	0
0	3	16189	16189
0	2	33497	33497
0	15002	1	1
50604	0	0	0
0	3	16190	16190
0	2	33497	33497
0	30007	25	25
50605	0	0	0
0	3	16191	16191
0	2	33497	33497
50606	0	0	0
0	3	16192	16192
0	2	33497	33497
0	30007	25	25
50607	0	0	0
0	3	16193	16193
0	2	33497	33497
50608	0	0	0
0	3	16194	16194
0	2	33497	33497
0	30007	25	25
50609	0	0	0
0	3	16195	16195
0	2	33497	33497
50610	0	0	0
0	3	16195	16195
0	2	33497	33497
0	30007	25	25
50611	0	0	0
0	3	11697	11697
0	2	33497	33497
0	15002	1	1
50612	0	0	0
0	3	16198	16198
0	2	33497	33497
0	30007	25	25
50613	0	0	0
0	3	16199	16199
0	2	33497	33497
50614	0	0	0
0	3	16200	16200
0	2	33497	33497
0	30007	25	25
50615	0	0	0
0	3	11201	11201
0	2	33497	33497
50616	0	0	0
0	3	16201	16201
0	2	33497	33497
0	30007	25	25
50617	0	0	0
0	3	16203	16203
0	2	33497	33497
50618	0	0	0
0	3	16186	16186
0	2	33497	33497
0	30007	25	25
50619	0	0	0
0	3	16187	16187
0	2	33497	33497
50620	0	0	0
0	3	16188	16188
0	2	33497	33497
0	30007	25	25
50621	0	0	0
0	3	16189	16189
0	2	33497	33497
50622	0	0	0
0	3	16190	16190
0	2	33497	33497
0	30007	25	25
50623	0	0	0
0	3	16191	16191
0	2	33497	33497
50624	0	0	0
0	3	16192	16192
0	2	33497	33497
0	30007	25	25
50625	0	0	0
0	3	16193	16193
0	2	33497	33497
50626	0	0	0
0	3	16194	16194
0	2	33497	33497
0	30007	25	25
50627	0	0	0
0	3	16195	16195
0	2	33497	33497
50628	0	0	0
0	3	16196	16196
0	2	33497	33497
0	30007	25	25
50629	0	0	0
0	3	16197	16197
0	2	33497	33497
50630	0	0	0
0	3	16198	16198
0	2	33497	33497
0	30007	25	25
50631	0	0	0
0	3	16199	16199
0	2	33497	33497
50632	0	0	0
0	3	16200	16200
0	2	33497	33497
0	30007	25	25
0	15002	1	1
50633	0	0	0
0	3	16201	16201
0	2	33497	33497
50634	0	0	0
0	3	16202	16202
0	2	33497	33497
0	30007	25	25
50635	0	0	0
0	3	16203	16203
0	2	33497	33497
0	15002	1	1
50636	0	0	0
0	3	16203	16203
0	2	33497	33497
50637	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50638	0	0	0
0	3	16203	16203
0	2	33497	33497
50639	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50640	0	0	0
0	3	16203	16203
0	2	33497	33497
50641	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50642	0	0	0
0	3	16203	16203
0	2	33497	33497
50643	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50644	0	0	0
0	3	16203	16203
0	2	33497	33497
50645	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50646	0	0	0
0	3	16203	16203
0	2	33497	33497
50647	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50648	0	0	0
0	3	16203	16203
0	2	33497	33497
50649	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50650	0	0	0
0	3	16203	16203
0	2	33497	33497
0	15002	1	1
50651	0	0	0
0	3	16203	16203
0	2	33497	33497
50652	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50653	0	0	0
0	3	16203	16203
0	2	33497	33497
50654	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50655	0	0	0
0	3	16203	16203
0	2	33497	33497
50656	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50657	0	0	0
0	3	16203	16203
0	2	33497	33497
50658	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50659	0	0	0
0	3	16203	16203
0	2	33497	33497
50660	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50661	0	0	0
0	3	16203	16203
0	2	33497	33497
50662	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50663	0	0	0
0	3	16203	16203
0	2	33497	33497
50664	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50665	0	0	0
0	3	16203	16203
0	2	33497	33497
50666	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50667	0	0	0
0	3	16203	16203
0	2	33497	33497
50668	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50669	0	0	0
0	3	16203	16203
0	2	33497	33497
50670	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50671	0	0	0
0	3	16203	16203
0	2	33497	33497
50672	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50673	0	0	0
0	3	16203	16203
0	2	33497	33497
50674	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50675	0	0	0
0	3	16203	16203
0	2	33497	33497
50676	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50677	0	0	0
0	3	16203	16203
0	2	33497	33497
0	15002	1	1
50678	0	0	0
0	3	16203	16203
0	2	33497	33497
50679	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50680	0	0	0
0	3	16203	16203
0	2	33497	33497
50681	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50682	0	0	0
0	3	16203	16203
0	2	33497	33497
50683	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50684	0	0	0
0	3	16203	16203
0	2	33497	33497
50685	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50686	0	0	0
0	3	16203	16203
0	2	33497	33497
50687	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50688	0	0	0
0	3	16203	16203
0	2	33497	33497
50689	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50690	0	0	0
0	3	16203	16203
0	2	33497	33497
50691	0	0	0
0	3	16203	16203
0	2	33497	33497
0	30007	25	25
50692	0	0	0
0	3	16203	16203
0	2	33497	33497
0	15002	1	1
51001	0	0	0
0	3	130	130
0	2	1071	1071
0	30001	1	1
0	30006	1	1
51002	0	0	0
0	3	186	186
0	2	1127	1127
51003	0	0	0
0	3	200	200
0	2	1169	1169
0	30001	1	1
0	30006	1	1
51004	0	0	0
0	3	214	214
0	2	1239	1239
51005	0	0	0
0	3	226	226
0	2	1295	1295
0	30001	1	1
0	30006	1	1
51006	0	0	0
0	3	240	240
0	2	1358	1358
51007	0	0	0
0	3	380	380
0	2	1428	1428
0	30001	1	1
0	30006	1	1
51008	0	0	0
0	3	400	400
0	2	1498	1498
51009	0	0	0
0	3	420	420
0	2	1568	1568
0	30001	1	1
0	30006	1	1
51010	0	0	0
0	3	440	440
0	2	1645	1645
51011	0	0	0
0	3	460	460
0	2	1729	1729
0	30001	1	1
0	30006	1	1
51012	0	0	0
0	3	384	384
0	2	1813	1813
51013	0	0	0
0	3	400	400
0	2	1897	1897
0	30001	1	1
0	30006	1	1
51014	0	0	0
0	3	416	416
0	2	1995	1995
51015	0	0	0
0	3	432	432
0	2	2093	2093
0	30001	1	1
0	30006	1	1
51016	0	0	0
0	3	448	448
0	2	2191	2191
51017	0	0	0
0	3	698	698
0	2	2303	2303
0	30001	1	1
0	30006	1	1
51018	0	0	0
0	3	720	720
0	2	2415	2415
51019	0	0	0
0	3	744	744
0	2	2534	2534
0	30001	1	1
0	30006	1	1
51020	0	0	0
0	3	768	768
0	2	2660	2660
51021	0	0	0
0	3	792	792
0	2	2786	2786
0	30001	1	1
0	30006	1	1
51022	0	0	0
0	3	1360	1360
0	2	2926	2926
51023	0	0	0
0	3	1400	1400
0	2	3066	3066
0	30001	1	1
0	30006	1	1
51024	0	0	0
0	3	1400	1400
0	2	3220	3220
51025	0	0	0
0	3	1480	1480
0	2	3374	3374
0	30001	1	1
0	30006	1	1
51026	0	0	0
0	3	1520	1520
0	2	3542	3542
51027	0	0	0
0	3	1950	1950
0	2	3717	3717
0	30001	1	1
0	30006	1	1
51028	0	0	0
0	3	2000	2000
0	2	3906	3906
51029	0	0	0
0	3	2050	2050
0	2	4095	4095
0	30001	1	1
0	30006	1	1
51030	0	0	0
0	3	2100	2100
0	2	4298	4298
51031	0	0	0
0	3	2150	2150
0	2	4515	4515
0	30001	1	1
0	30006	1	1
51032	0	0	0
0	3	2464	2464
0	2	4739	4739
51033	0	0	0
0	3	2520	2520
0	2	4970	4970
0	30001	1	1
0	30006	1	1
51034	0	0	0
0	3	2576	2576
0	2	5222	5222
51035	0	0	0
0	3	2632	2632
0	2	5481	5481
0	30001	1	1
0	30006	1	1
51036	0	0	0
0	3	2688	2688
0	2	5754	5754
51037	0	0	0
0	3	3088	3088
0	2	6041	6041
0	30001	1	1
0	30006	1	1
51038	0	0	0
0	3	3150	3150
0	2	6042	6042
51039	0	0	0
0	3	3214	3214
0	2	6657	6657
0	30001	1	1
0	30006	1	1
51040	0	0	0
0	3	3276	3276
0	2	6986	6986
51041	0	0	0
0	3	3340	3340
0	2	7336	7336
0	30001	1	1
0	30006	1	1
51042	0	0	0
0	3	3780	3780
0	2	7693	7693
51043	0	0	0
0	3	3850	3850
0	2	8078	8078
0	30001	1	1
0	30006	1	1
51044	0	0	0
0	3	3920	3920
0	2	8477	8477
51045	0	0	0
0	3	3990	3990
0	2	8904	8904
0	30001	1	1
0	30006	1	1
51046	0	0	0
0	3	4060	4060
0	2	9345	9345
51047	0	0	0
0	3	4956	4956
0	2	9814	9814
0	30001	1	1
0	30006	1	1
51048	0	0	0
0	3	5040	5040
0	2	10304	10304
51049	0	0	0
0	3	5124	5124
0	2	10815	10815
0	30001	1	1
0	30006	1	1
51050	0	0	0
0	3	5208	5208
0	2	11354	11354
51051	0	0	0
0	3	3780	3780
0	2	11921	11921
0	30001	1	1
0	30006	1	1
51052	0	0	0
0	3	4479	4479
0	2	12516	12516
51053	0	0	0
0	3	4549	4549
0	2	13139	13139
0	30001	1	1
0	30006	1	1
51054	0	0	0
0	3	4620	4620
0	2	13797	13797
51055	0	0	0
0	3	4689	4689
0	2	14483	14483
0	30001	1	1
0	30006	1	1
51056	0	0	0
0	3	4759	4759
0	2	15204	15204
51057	0	0	0
0	3	5520	5520
0	2	15967	15967
0	30001	1	1
0	30006	1	1
51058	0	0	0
0	3	5599	5599
0	2	16765	16765
51059	0	0	0
0	3	5679	5679
0	2	17598	17598
0	30001	1	1
0	30006	1	1
51060	0	0	0
0	3	5760	5760
0	2	18480	18480
51061	0	0	0
0	3	5839	5839
0	2	19404	19404
0	30001	1	1
0	30006	1	1
51062	0	0	0
0	3	6660	6660
0	2	20370	20370
51063	0	0	0
0	3	6750	6750
0	2	21392	21392
0	30001	1	1
0	30006	1	1
51064	0	0	0
0	3	6840	6840
0	2	22456	22456
51065	0	0	0
0	3	6930	6930
0	2	23576	23576
0	30001	1	1
0	30006	1	1
51066	0	0	0
0	3	7020	7020
0	2	24752	24752
51067	0	0	0
0	3	7899	7899
0	2	25991	25991
0	30001	1	1
0	30006	1	1
51068	0	0	0
0	3	7999	7999
0	2	27286	27286
51069	0	0	0
0	3	8100	8100
0	2	28651	28651
0	30001	1	1
0	30006	1	1
51070	0	0	0
0	3	8199	8199
0	2	30079	30079
51071	0	0	0
0	3	8299	8299
0	2	31584	31584
0	30001	2	2
0	30006	1	1
51072	0	0	0
0	3	5760	5760
0	2	33159	33159
51073	0	0	0
0	3	5828	5828
0	2	34818	34818
0	30001	2	2
0	30006	1	1
51074	0	0	0
0	3	5897	5897
0	2	36554	36554
51075	0	0	0
0	3	5965	5965
0	2	38381	38381
0	30001	2	2
0	30006	1	1
51076	0	0	0
0	3	6034	6034
0	2	40299	40299
51077	0	0	0
0	3	7120	7120
0	2	42315	42315
0	30001	2	2
0	30006	1	1
51078	0	0	0
0	3	7200	7200
0	2	44429	44429
51079	0	0	0
0	3	7280	7280
0	2	46648	46648
0	30001	2	2
0	30006	1	1
51080	0	0	0
0	3	7360	7360
0	2	48979	48979
51081	0	0	0
0	3	7440	7440
0	2	51422	51422
0	30001	2	2
0	30006	1	1
51082	0	0	0
0	3	8594	8594
0	2	53991	53991
51083	0	0	0
0	3	8685	8685
0	2	56693	56693
0	30001	2	2
0	30006	1	1
51084	0	0	0
0	3	8777	8777
0	2	59521	59521
51085	0	0	0
0	3	8868	8868
0	2	62496	62496
0	30001	2	2
0	30006	1	1
51086	0	0	0
0	3	8960	8960
0	2	65618	65618
51087	0	0	0
0	3	11314	11314
0	2	68901	68901
0	30001	2	2
0	30006	1	1
51088	0	0	0
0	3	11428	11428
0	2	72345	72345
51089	0	0	0
0	3	11542	11542
0	2	75957	75957
0	30001	2	2
0	30006	1	1
51090	0	0	0
0	3	11657	11657
0	2	79758	79758
51091	0	0	0
0	3	11771	11771
0	2	83741	83741
0	30001	2	2
0	30006	1	1
51092	0	0	0
0	3	11771	11771
0	2	83741	83741
0	30001	1	1
0	30006	1	1
51093	0	0	0
0	3	11771	11771
0	2	83741	83741
51094	0	0	0
0	3	11771	11771
0	2	83741	83741
0	30001	1	1
0	30006	1	1
51095	0	0	0
0	3	11771	11771
0	2	83741	83741
51096	0	0	0
0	3	11771	11771
0	2	83741	83741
0	30001	1	1
0	30006	1	1
51097	0	0	0
0	3	11771	11771
0	2	83741	83741
51098	0	0	0
0	3	11771	11771
