城市id	坐标y	坐标x	归属	名称	类型	地形	素材	相邻	归属值	类型值	地形值	铜钱值
520037	52	37	蜀国	涪陵西	野外	城池	UI_gzdt_cheng4	"[570030,510024,500045,570054,410039]"	1	4	1	137
500045	50	45	蜀国	涪陵	城市	城池	UI_gzdt_cheng2	"[520037,490052,410039]"	1	2	1	138
570054	57	54	蜀国	白帝西	野外	城池	UI_gzdt_cheng4	"[520037,560062,620062]"	1	4	1	139
490052	49	52	蜀国	涪陵东	野外	城池	UI_gzdt_cheng4	"[500045,510059,390058]"	1	4	1	140
510059	51	59	蜀国	白帝南	野外	城池	UI_gzdt_cheng4	"[490052,500078,400066,560062]"	1	4	1	141
450014	45	14	蜀国	武阳	城市	城池	UI_gzdt_cheng2	"[530017,510024,390019]"	1	2	1	142
410039	41	39	蜀国	涪陵南	野外	城池	UI_gzdt_cheng4	"[520037,500045,380029,350047]"	1	4	1	143
390019	39	19	蜀国	江州北	野外	城池	UI_gzdt_cheng4	"[450014,380029,310018]"	1	4	1	144
380029	38	29	蜀国	巴郡	城市	城池	UI_gzdt_cheng2	"[410039,390019,280038]"	1	2	1	145
350047	35	47	蜀国	建宁北	野外	城池	UI_gzdt_cheng4	"[410039,280038,260047]"	1	4	1	146
280038	28	38	蜀国	建宁西	野外	城池	UI_gzdt_cheng4	"[380029,350047,260025,200047,260047]"	1	4	1	147
340010	34	10	蜀国	西戎城	城市	城池	UI_gzdt_cheng2	[310018]	1	2	1	148
310018	31	18	蜀国	江州	城市	城池	UI_gzdt_cheng2	"[390019,340010,260025,220015]"	1	2	1	149
260025	26	25	蜀国	江州东	野外	城池	UI_gzdt_cheng4	"[280038,310018,190027]"	1	4	1	150
220015	22	15	蜀国	江州南	野外	城池	UI_gzdt_cheng4	"[310018,150015]"	1	4	1	151
250067	25	67	蜀国	夷陵	关口	城池	UI_gzdt_cheng3	"[210056,300056,240075,170070]"	1	3	1	152
500078	50	78	蜀国	巫峡关	关口	城池	UI_gzdt_cheng3	"[560081,500085,510059,420073,550071]"	1	3	1	153
760111	76	111	魏国	虎牢关	关口	城池	UI_gzdt_cheng3	"[720119,720105,810097,830106,790122]"	2	3	1	154
520124	52	124	吴国	赤壁	关口	城池	UI_gzdt_cheng3	"[520116,580123,430129,450135,540134]"	3	3	1	155
840166	84	166	魏国	官渡	关口	城池	UI_gzdt_cheng3	"[790162,790177,890155,900173]"	2	3	1	156
1070063	107	63	黄巾	咸阳	城市	城池	UI_gzdt_cheng2	"[1000058,1140056,1020070]"	5	2	1	157
900061	90	61	黄巾	斜谷	野外	城池	UI_gzdt_cheng4	"[1010049,880055,930069,870071,820067]"	5	4	1	158
930069	93	69	黄巾	定军山	野外	城池	UI_gzdt_cheng4	"[900061,870071,1020070]"	5	4	1	159
870071	87	71	黄巾	上庸	城市	城池	UI_gzdt_cheng2	"[900061,930069,820067]"	5	2	1	160
820067	82	67	黄巾	上庸南	野外	城池	UI_gzdt_cheng4	"[900061,870071]"	5	4	1	161
130026	13	26	蜀国	云南	城市	城池	UI_gzdt_cheng2	"[190027,70021,120035]"	1	2	1	162
190027	19	27	蜀国	云南北	野外	城池	UI_gzdt_cheng4	"[260025,130026,120035]"	1	4	1	163
150015	15	15	蜀国	云南西	野外	城池	UI_gzdt_cheng4	"[220015,70021]"	1	4	1	164
70021	7	21	蜀国	云南南	野外	城池	UI_gzdt_cheng4	"[130026,150015]"	1	4	1	165
120035	12	35	蜀国	云南东	野外	城池	UI_gzdt_cheng4	"[130026,190027,130049]"	1	4	1	166
140057	14	57	蜀国	答郎甸	城市	城池	UI_gzdt_cheng2	"[80055,130049,210056]"	1	2	1	167
80055	8	55	蜀国	答郎甸南	野外	城池	UI_gzdt_cheng4	"[140057,130049]"	1	4	1	168
130049	13	49	蜀国	答郎甸西	野外	城池	UI_gzdt_cheng4	"[120035,140057,80055,210056,200047]"	1	4	1	169
210056	21	56	蜀国	答郎甸北	野外	城池	UI_gzdt_cheng4	"[250067,140057,130049,200047,300056]"	1	4	1	170
200047	20	47	蜀国	建宁南	野外	城池	UI_gzdt_cheng4	"[280038,130049,210056,260047]"	1	4	1	171
260047	26	47	蜀国	建宁	城市	城池	UI_gzdt_cheng2	"[350047,280038,200047,300056]"	1	2	1	172
300056	30	56	蜀国	建宁东	野外	城池	UI_gzdt_cheng4	"[250067,210056,260047,340061]"	1	4	1	173
400066	40	66	蜀国	汉寿	城市	城池	UI_gzdt_cheng2	"[510059,390058,340061,420073]"	1	2	1	174
390058	39	58	蜀国	汉寿西	野外	城池	UI_gzdt_cheng4	"[490052,400066]"	1	4	1	175
340061	34	61	蜀国	汉寿南	野外	城池	UI_gzdt_cheng4	"[300056,400066]"	1	4	1	176
420073	42	73	蜀国	汉寿东	野外	城池	UI_gzdt_cheng4	"[500078,400066]"	1	4	1	177
560062	56	62	蜀国	白帝	城市	城池	UI_gzdt_cheng2	"[570054,510059,620062,550071]"	1	2	1	178
620062	62	62	蜀国	白帝北	野外	城池	UI_gzdt_cheng4	"[680054,570054,560062]"	1	4	1	179
720105	72	105	黄巾	泗水	野外	城池	UI_gzdt_cheng6	"[700093,760111]"	5	4	1	180
240075	24	75	黄巾	武陵	城市	城池	UI_gzdt_cheng2	"[250067,280078,250084]"	5	2	1	181
190083	19	83	黄巾	衡阳	城市	城池	UI_gzdt_cheng2	"[140078,140091,230092,250084]"	5	2	1	182
140078	14	78	黄巾	零陵	城市	城池	UI_gzdt_cheng2	"[190083,170070,70077,110085]"	5	2	1	183
170070	17	70	黄巾	零陵西	野外	城池	UI_gzdt_cheng4	"[250067,140078,70077]"	5	4	1	184
70077	7	77	黄巾	零陵南	野外	城池	UI_gzdt_cheng4	"[140078,170070,110085]"	5	4	1	185
140091	14	91	黄巾	桂阳	城市	城池	UI_gzdt_cheng2	"[190083,110085,80094,230092]"	5	2	1	186
110085	11	85	黄巾	桂阳西	野外	城池	UI_gzdt_cheng4	"[140078,70077,140091,80094]"	5	4	1	187
80094	8	94	黄巾	桂阳南	野外	城池	UI_gzdt_cheng4	"[140091,110085,210102]"	5	4	1	188
230092	23	92	黄巾	长沙	城市	城池	UI_gzdt_cheng2	"[190083,140091,290090,210102]"	5	2	1	189
280078	28	78	黄巾	武陵北	野外	城池	UI_gzdt_cheng4	"[240075,250084]"	5	4	1	190
250084	25	84	黄巾	衡阳北	野外	城池	UI_gzdt_cheng4	"[240075,190083,280078,290090]"	5	4	1	191
290090	29	90	黄巾	长沙北	野外	城池	UI_gzdt_cheng4	"[230092,250084]"	5	4	1	192
1130086	113	86	魏国	晋阳	城市	城池	UI_gzdt_cheng2	"[1140078,1140095,1060088,1080078]"	2	2	1	193
1140078	114	78	魏国	晋阳西	野外	城池	UI_gzdt_cheng4	"[1130086,1080078]"	2	4	1	194
1140095	114	95	魏国	晋阳东	野外	城池	UI_gzdt_cheng4	"[1130086,1060088,1090099,1120107]"	2	4	1	195
1060088	106	88	魏国	晋阳南	野外	城池	UI_gzdt_cheng4	"[1130086,1140095,990088]"	2	4	1	196
1080078	108	78	魏国	晋阳山脉	野外	城池	UI_gzdt_cheng4	"[1130086,1140078,1010082]"	2	4	1	197
930085	93	85	魏国	濮阳	城市	城池	UI_gzdt_cheng2	"[960077,920094,880082]"	2	2	1	198
1010082	101	82	魏国	函谷水域	野外	水域	UI_gzdt_cheng5	"[1080078,990088,1020070]"	2	4	3	199
990088	99	88	魏国	晋阳外山	野外	城池	UI_gzdt_cheng4	"[1060088,1010082,920094]"	2	4	1	200
960077	96	77	魏国	濮阳西	野外	城池	UI_gzdt_cheng4	"[930085,880082,1020070]"	2	4	1	201
1090099	109	99	魏国	晋阳水域	野外	水域	UI_gzdt_cheng5	[1140095]	2	4	3	202
1120107	112	107	魏国	白马	城市	城池	UI_gzdt_cheng2	"[1140095,1110115]"	2	2	1	203
920094	92	94	魏国	濮阳东	野外	城池	UI_gzdt_cheng4	"[930085,990088,950102,880082]"	2	4	1	204
950102	95	102	魏国	濮阳郊外	野外	城池	UI_gzdt_cheng4	"[920094,980097,960111,900108]"	2	4	1	205
980097	98	97	魏国	濮阳水域	野外	水域	UI_gzdt_cheng5	[950102]	2	4	3	206
960111	96	111	魏国	平原南	野外	城池	UI_gzdt_cheng4	"[950102,1020112,970119]"	2	4	1	207
1020112	102	112	魏国	平原	城市	城池	UI_gzdt_cheng2	"[960111,1060125]"	2	2	1	208
900108	90	108	魏国	邯郸	野外	城池	UI_gzdt_cheng4	"[950102,830106]"	2	4	1	209
880082	88	82	魏国	濮阳南	野外	城池	UI_gzdt_cheng4	"[930085,960077,920094,840087]"	2	4	1	210
810097	81	97	魏国	邺城	城市	城池	UI_gzdt_cheng2	"[760111,860093,840087,780090,830106]"	2	2	1	211
860093	86	93	魏国	邺城北	野外	城池	UI_gzdt_cheng4	"[810097,840087]"	2	4	1	212
840087	84	87	魏国	邺城西	野外	城池	UI_gzdt_cheng4	"[880082,810097,860093,780090]"	2	4	1	213
780090	78	90	魏国	邺城南	野外	城池	UI_gzdt_cheng4	"[810097,840087]"	2	4	1	214
830106	83	106	魏国	邺城东	野外	城池	UI_gzdt_cheng4	"[760111,900108,810097]"	2	4	1	215
210102	21	102	吴国	浔阳	关口	城池	UI_gzdt_cheng3	"[80094,230092,150109,270111]"	3	3	1	216
150109	15	109	吴国	浔阳水域	野外	水域	UI_gzdt_cheng5	"[210102,210116]"	3	4	3	217
160117	16	117	吴国	武昌	城市	城池	UI_gzdt_cheng2	"[210116,170126,80119]"	3	2	1	218
210116	21	116	吴国	武昌北	野外	城池	UI_gzdt_cheng4	"[150109,160117,270111,280124]"	3	4	1	219
270111	27	111	吴国	建昌南	野外	城池	UI_gzdt_cheng4	"[210102,210116,350112,340104]"	3	4	1	220
350112	35	112	吴国	建昌	城市	城池	UI_gzdt_cheng2	"[270111,420108,420118,370129,340104]"	3	2	1	221
420108	42	108	吴国	建昌北	野外	城池	UI_gzdt_cheng6	"[350112,340104]"	3	4	1	222
420118	42	118	吴国	建昌水域	野外	水域	UI_gzdt_cheng5	"[350112,370129]"	3	4	3	223
370129	37	129	吴国	丹阳北	野外	城池	UI_gzdt_cheng4	"[350112,420118,320129,430129,450135]"	3	4	1	224
320129	32	129	吴国	丹阳	城市	城池	UI_gzdt_cheng2	"[370129,340136,280124,270133]"	3	2	1	225
430129	43	129	吴国	丹阳水域	野外	水域	UI_gzdt_cheng5	"[520124,370129]"	3	4	3	226
450135	45	135	吴国	庐江水域	野外	水域	UI_gzdt_cheng5	"[520124,370129,410145]"	3	4	3	227
340136	34	136	吴国	丹阳东	野外	城池	UI_gzdt_cheng4	"[320129,330144,410145,270133]"	3	4	1	228
330144	33	144	吴国	汉津	城市	城池	UI_gzdt_cheng2	"[340136,410145,310153,270144]"	3	2	1	229
410145	41	145	吴国	庐江	城市	城池	UI_gzdt_cheng2	"[450135,340136,330144,540134,470151]"	3	2	1	230
540134	54	134	吴国	赤壁东	野外	城池	UI_gzdt_cheng4	"[520124,410145,610136]"	3	4	1	231
280124	28	124	吴国	丹阳西	野外	城池	UI_gzdt_cheng4	"[210116,320129,270133]"	3	4	1	232
270133	27	133	吴国	丹阳南	野外	城池	UI_gzdt_cheng4	"[320129,340136,280124,210133]"	3	4	1	233
210133	21	133	吴国	鄱阳西	野外	城池	UI_gzdt_cheng4	"[270133,190140]"	3	4	1	234
170126	17	126	吴国	武昌东	野外	水域	UI_gzdt_cheng5	"[160117,190140]"	3	4	3	235
190140	19	140	吴国	鄱阳	城市	城池	UI_gzdt_cheng2	"[210133,170126,150148,270144]"	3	2	1	236
150148	15	148	吴国	建邺	都城	城池	UI_gzdt_cheng1	"[190140,110137,80150,220152,120158]"	3	1	1	237
110137	11	137	吴国	屯田区	屯田	城池	UI_gzdt_cheng7	[150148]	3	5	1	238
80150	8	150	吴国	建邺南	野外	水域	UI_gzdt_cheng5	"[150148,120158]"	3	4	3	239
220152	22	152	吴国	湖口	城市	城池	UI_gzdt_cheng2	"[150148,310153,270144]"	3	2	1	240
120158	12	158	吴国	广陵	城市	城池	UI_gzdt_cheng2	"[150148,80150,70160,210163,140165]"	3	2	1	241
70160	7	160	吴国	广陵南	野外	城池	UI_gzdt_cheng4	[120158]	3	4	1	242
140174	14	174	吴国	会稽	城市	城池	UI_gzdt_cheng2	"[70172,110187,190180,210163,140165]"	3	2	1	243
70172	7	172	吴国	东夷城	城市	城池	UI_gzdt_cheng2	[140174]	3	2	1	244
110187	11	187	吴国	会稽水域	野外	水域	UI_gzdt_cheng5	"[140174,200191]"	3	4	3	245
190180	19	180	吴国	会稽东	野外	城池	UI_gzdt_cheng4	"[140174,200191,240186]"	3	4	1	246
200191	20	191	吴国	建安水域	野外	水域	UI_gzdt_cheng5	"[110187,190180,240186]"	3	4	3	247
240186	24	186	吴国	建安	城市	城池	UI_gzdt_cheng2	"[190180,200191,300178,310189]"	3	2	1	248
210163	21	163	吴国	吴郡	城市	城池	UI_gzdt_cheng2	"[120158,140174,260158,250168]"	3	2	1	249
310153	31	153	吴国	汉津东	野外	城池	UI_gzdt_cheng4	"[330144,220152,260158,310166,370160]"	3	4	1	250
260158	26	158	吴国	吴郡北	野外	城池	UI_gzdt_cheng4	"[210163,310153,250168]"	3	4	1	251
250168	25	168	吴国	吴郡东	野外	城池	UI_gzdt_cheng4	"[210163,260158,310166]"	3	4	1	252
310166	31	166	吴国	南昌南	野外	城池	UI_gzdt_cheng4	"[310153,250168,380168,300178]"	3	4	1	253
370160	37	160	吴国	南昌西	野外	城池	UI_gzdt_cheng4	"[310153,380168,440159]"	3	4	1	254
380168	38	168	吴国	南昌	城市	城池	UI_gzdt_cheng2	"[310166,370160,370178,450169]"	3	2	1	255
300178	30	178	吴国	建安郊外	野外	城池	UI_gzdt_cheng4	"[240186,310166]"	3	4	1	256
310189	31	189	吴国	建安北	野外	城池	UI_gzdt_cheng4	"[240186,370178]"	3	4	1	257
370178	37	178	吴国	南昌东	野外	城池	UI_gzdt_cheng4	"[380168,310189,500185]"	3	4	1	258
470151	47	151	吴国	九江	城市	城池	UI_gzdt_cheng2	"[410145,500146,440159,530163,550154]"	3	2	1	259
500146	50	146	吴国	九江西	野外	水域	UI_gzdt_cheng5	[470151]	3	4	3	260
440159	44	159	吴国	九江东	野外	城池	UI_gzdt_cheng4	"[370160,470151,450169]"	3	4	1	261
450169	45	169	吴国	南昌北	野外	城池	UI_gzdt_cheng4	"[380168,440159,510173]"	3	4	1	262
500185	50	185	吴国	江都	城市	城池	UI_gzdt_cheng2	"[370178,440191,580187,510173]"	3	2	1	263
440191	44	191	吴国	江都东	野外	城池	UI_gzdt_cheng6	"[500185,580187]"	3	4	1	264
580187	58	187	吴国	江都北	野外	水域	UI_gzdt_cheng5	"[500185,440191]"	3	4	3	265
620183	62	183	黄巾	合肥水域	野外	水域	UI_gzdt_cheng5	"[580178,650172,680183]"	5	4	3	266
580178	58	178	黄巾	合肥南	野外	水域	UI_gzdt_cheng5	"[620183,650172]"	5	4	3	267
580170	58	170	吴国	濡须坞东	野外	城池	UI_gzdt_cheng4	"[610162,510173]"	3	4	1	268
650172	65	172	黄巾	合肥	城市	城池	UI_gzdt_cheng2	"[620183,580178,610162,720176]"	5	2	1	269
680183	68	183	黄巾	合肥东	野外	城池	UI_gzdt_cheng4	"[620183,720176]"	5	4	1	270
610162	61	162	吴国	濡须坞	关口	城池	UI_gzdt_cheng3	"[580170,650172,530163,620152]"	3	3	1	271
510173	51	173	吴国	江都西	野外	水域	UI_gzdt_cheng5	"[450169,500185,580170,530163]"	3	4	3	272
530163	53	163	吴国	濡须坞南	野外	城池	UI_gzdt_cheng4	"[470151,610162,510173,550154]"	3	4	1	273
600144	60	144	吴国	曲阿	城市	城池	UI_gzdt_cheng2	"[550154,610136]"	3	2	1	274
620152	62	152	黄巾	寿春	城市	城池	UI_gzdt_cheng2	"[610162,670147]"	5	2	1	275
550154	55	154	吴国	九江北	野外	城池	UI_gzdt_cheng4	"[470151,530163,600144]"	3	4	1	276
610136	61	136	吴国	曲阿西	野外	城池	UI_gzdt_cheng4	"[540134,600144]"	3	4	1	277
670147	67	147	黄巾	寿春西	野外	城池	UI_gzdt_cheng4	"[620152,670141,690153,720144]"	5	4	1	278
670141	67	141	黄巾	寿春山脉	野外	城池	UI_gzdt_cheng4	"[670147,720144]"	5	4	1	279
690153	69	153	黄巾	徐州西	野外	城池	UI_gzdt_cheng4	"[670147,710161]"	5	4	1	280
720144	72	144	黄巾	下邳郊外	野外	城池	UI_gzdt_cheng4	"[670147,670141,750153]"	5	4	1	281
820154	82	154	黄巾	下邳	城市	城池	UI_gzdt_cheng2	"[790147,750153,790162]"	5	2	1	282
790147	79	147	黄巾	下邳西	野外	城池	UI_gzdt_cheng4	"[820154,750153]"	5	4	1	283
750153	75	153	黄巾	下邳南	野外	城池	UI_gzdt_cheng4	"[720144,820154,790147,710161]"	5	4	1	284
790162	79	162	黄巾	下邳东	野外	城池	UI_gzdt_cheng4	"[840166,820154]"	5	4	1	285
710161	71	161	黄巾	徐州	城市	城池	UI_gzdt_cheng2	"[690153,750153,720176,760169]"	5	2	1	286
720176	72	176	黄巾	合肥北	野外	城池	UI_gzdt_cheng4	"[650172,680183,710161,760169]"	5	4	1	287
760169	76	169	黄巾	临淄西	野外	城池	UI_gzdt_cheng4	"[710161,720176,790177]"	5	4	1	288
790177	79	177	黄巾	临淄	城市	城池	UI_gzdt_cheng2	"[840166,760169,790184,750183]"	5	2	1	289
790184	79	184	黄巾	临淄东	野外	水域	UI_gzdt_cheng5	"[790177,750183]"	5	4	3	290
750183	75	183	黄巾	临淄水域	野外	水域	UI_gzdt_cheng5	"[790177,790184]"	5	4	3	291
850129	85	129	魏国	陈留	城市	城池	UI_gzdt_cheng2	"[790122,780135,860138,910124,870119]"	2	2	1	292
790122	79	122	魏国	陈留南	野外	城池	UI_gzdt_cheng4	"[760111,850129,870119]"	2	4	1	293
780135	78	135	魏国	陈留郊外	野外	城池	UI_gzdt_cheng4	"[850129,860138]"	2	4	1	294
860138	86	138	魏国	陈留东	野外	城池	UI_gzdt_cheng4	"[850129,780135,910124,940145]"	2	4	1	295
1000127	100	127	魏国	南皮	城市	城池	UI_gzdt_cheng2	"[1060125,1050138,930135,970119]"	2	2	1	296
1060125	106	125	魏国	洛阳	都城	城池	UI_gzdt_cheng1	"[1020112,1000127,1090132,1050138,1110115]"	2	1	1	297
1090132	109	132	魏国	屯田区	屯田	城池	UI_gzdt_cheng7	[1060125]	2	5	1	298
1050138	105	138	魏国	荥阳	城市	城池	UI_gzdt_cheng2	"[1000127,1060125,990139,1040146]"	2	2	1	299
990139	99	139	魏国	平丘	城市	城池	UI_gzdt_cheng2	"[1050138,930135]"	2	2	1	300
930135	93	135	魏国	平丘南	野外	城池	UI_gzdt_cheng4	"[1000127,990139,910124]"	2	4	1	301
970119	97	119	魏国	南皮西	野外	城池	UI_gzdt_cheng4	"[960111,1000127,910124]"	2	4	1	302
910124	91	124	魏国	陈留北	野外	城池	UI_gzdt_cheng4	"[850129,860138,930135,970119,870119]"	2	4	1	303
870119	87	119	魏国	陈留西	野外	城池	UI_gzdt_cheng4	"[850129,790122,910124]"	2	4	1	304
1110115	111	115	蜀国	洛阳西	野外	城池	UI_gzdt_cheng4	"[1120107,1060125,1140128]"	1	4	1	305
1140128	114	128	魏国	洛阳郊外	野外	城池	UI_gzdt_cheng4	"[1110115,1120140]"	2	4	1	306
1100150	110	150	魏国	蓟城	城市	城池	UI_gzdt_cheng2	"[1120140,1150152,1120159,1040146]"	2	2	1	307
1120140	112	140	魏国	蓟城西	野外	城池	UI_gzdt_cheng4	"[1140128,1100150]"	2	4	1	308
1150152	115	152	魏国	北狄城	城市	城池	UI_gzdt_cheng2	[1100150]	2	2	1	309
1120159	112	159	魏国	蓟城东	野外	城池	UI_gzdt_cheng4	"[1100150,1100171]"	2	4	1	310
1040146	104	146	魏国	荥阳东	野外	城池	UI_gzdt_cheng4	"[1050138,1100150,1020154]"	2	4	1	311
960153	96	153	魏国	东郡	城市	城池	UI_gzdt_cheng2	"[1020154,940145,930164]"	2	2	1	312
1020154	102	154	魏国	东郡北	野外	城池	UI_gzdt_cheng4	"[1040146,960153,140165]"	2	4	1	313
940145	94	145	魏国	东郡西	野外	城池	UI_gzdt_cheng4	"[860138,960153,890155]"	2	4	1	314
890155	89	155	魏国	东郡南	野外	城池	UI_gzdt_cheng4	"[840166,940145,930164]"	2	4	1	315
930164	93	164	魏国	东郡东	野外	城池	UI_gzdt_cheng4	"[960153,890155,900173]"	2	4	1	316
920181	92	181	魏国	东海	城市	城池	UI_gzdt_cheng2	"[900189,900173,980181]"	2	2	1	317
900189	90	189	魏国	东海东	野外	城池	UI_gzdt_cheng4	"[920181,860182]"	2	4	1	318
860182	86	182	魏国	东海南	野外	城池	UI_gzdt_cheng4	"[900189,900173]"	2	4	1	319
900173	90	173	魏国	东海西	野外	城池	UI_gzdt_cheng4	"[840166,930164,920181,860182]"	2	4	1	320
980181	98	181	魏国	东海北	野外	城池	UI_gzdt_cheng4	"[920181,1030177]"	2	4	1	321
1010167	101	167	魏国	北海	城市	城池	UI_gzdt_cheng2	"[140165,1030177]"	2	2	1	322
