ID	分类编号	名称	描述	星级	品质	道具类型	职业	使用等级	值1	出售价格	图标	点击结果
2023	0	[魂]吴国太	"收集10个[魂]吴国太,可以招募出吴国太"	0	4	2	0	1	(500423)	0	meishu/wujiang/touxiang/fang/T_f_wuguotai.png	3
2024	0	[魂]陈宫	"收集10个[魂]陈宫,可以招募出陈宫"	0	4	2	0	1	(500424)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2025	0	[魂]虞翻	"收集10个[魂]虞翻,可以招募出虞翻"	0	4	2	0	1	(500425)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2026	0	[魂]陆抗	"收集10个[魂]陆抗,可以招募出陆抗"	0	4	2	0	1	(500426)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2027	0	[魂]阎圃	"收集10个[魂]阎圃,可以招募出阎圃"	0	4	2	0	1	(500427)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2028	0	[魂]刘璋	"收集10个[魂]刘璋,可以招募出刘璋"	0	4	2	0	1	(500428)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2029	0	[魂]卢植	"收集10个[魂]卢植,可以招募出卢植"	0	4	2	0	1	(500429)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2030	0	[魂]司马昭	"收集10个[魂]司马昭,可以招募出司马昭"	0	4	2	0	1	(500430)	0	meishu/wujiang/touxiang/fang/T_f_chengong.png	3
2031	0	[魂]马云禄	"收集10个[魂]马云禄,可以招募出马云禄"	0	4	2	0	1	(500431)	0	meishu/wujiang/touxiang/fang/T_f_mayunlu.png	3
2032	0	[魂]鲍三娘	"收集10个[魂]鲍三娘,可以招募出鲍三娘"	0	4	2	0	1	(500432)	0	meishu/wujiang/touxiang/fang/T_f_baosanniang.png	3
2033	0	[魂]郝昭	"收集10个[魂]郝昭,可以招募出郝昭"	0	4	2	0	1	(500433)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2034	0	[魂]张燕	"收集10个[魂]张燕,可以招募出张燕"	0	4	2	0	1	(500434)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2035	0	[魂]纪灵	"收集10个[魂]纪灵,可以招募出纪灵"	0	4	2	0	1	(500435)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2036	0	[魂]蒋钦	"收集10个[魂]蒋钦,可以招募出蒋钦"	0	4	2	0	1	(500436)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2037	0	[魂]王平	"收集10个[魂]王平,可以招募出王平"	0	4	2	0	1	(500437)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2038	0	[魂]夏侯霸	"收集10个[魂]夏侯霸,可以招募出夏侯霸"	0	4	2	0	1	(500438)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2039	0	[魂]于禁	"收集10个[魂]于禁,可以招募出于禁"	0	4	2	0	1	(500439)	0	meishu/wujiang/touxiang/fang/T_f_yujin.png	3
2040	0	[魂]孟达	"收集10个[魂]孟达,可以招募出孟达"	0	4	2	0	1	(500440)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2041	0	[魂]高顺	"收集10个[魂]高顺,可以招募出高顺"	0	4	2	0	1	(500441)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2042	0	[魂]公孙瓒	"收集10个[魂]公孙瓒,可以招募出公孙瓒"	0	4	2	0	1	(500442)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2043	0	[魂]徐盛	"收集10个[魂]徐盛,可以招募出徐盛"	0	4	2	0	1	(500443)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2044	0	[魂]关兴	"收集10个[魂]关兴,可以招募出关兴"	0	4	2	0	1	(500444)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2045	0	[魂]曹洪	"收集10个[魂]曹洪,可以招募出曹洪"	0	4	2	0	1	(500445)	0	meishu/wujiang/touxiang/fang/T_f_guanxing.png	3
2046	0	[魂]韩遂	"收集10个[魂]韩遂,可以招募出韩遂"	0	4	2	0	1	(500446)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2047	0	[魂]文鸯	"收集10个[魂]文鸯,可以招募出文鸯"	0	4	2	0	1	(500447)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2048	0	[魂]韩当	"收集10个[魂]韩当,可以招募出韩当"	0	4	2	0	1	(500448)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2049	0	[魂]程普	"收集10个[魂]程普,可以招募出程普"	0	4	2	0	1	(500449)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2050	0	[魂]乐进	"收集10个[魂]乐进,可以招募出乐进"	0	4	2	0	1	(500450)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2051	0	[魂]曹真	"收集10个[魂]曹真,可以招募出曹真"	0	4	2	0	1	(500451)	0	meishu/wujiang/touxiang/fang/T_f_yuejin.png	3
2052	0	[魂]赵云	"收集10个[魂]赵云,可以招募出赵云"	0	4	2	0	1	(600501)	0	meishu/wujiang/touxiang/fang/T_f_zhaoyun.png	3
2053	0	[魂]貂蝉	"收集10个[魂]貂蝉,可以招募出貂蝉"	0	4	2	0	1	(600502)	0	meishu/wujiang/touxiang/fang/T_f_diaochan.png	3
2054	0	[魂]曹仁	"收集10个[魂]曹仁,可以招募出曹仁"	0	4	2	0	1	(600503)	0	meishu/wujiang/touxiang/fang/T_f_caoren.png	3
2055	0	[魂]典韦	"收集10个[魂]典韦,可以招募出典韦"	0	4	2	0	1	(600504)	0	meishu/wujiang/touxiang/fang/T_f_dianwei.png	3
2056	0	[魂]吕蒙	"收集10个[魂]吕蒙,可以招募出吕蒙"	0	4	2	0	1	(600505)	0	meishu/wujiang/touxiang/fang/T_f_lvmeng.png	3
2057	0	[魂]庞德	"收集10个[魂]庞德,可以招募出庞德"	0	4	2	0	1	(600506)	0	meishu/wujiang/touxiang/fang/T_f_pangde.png	3
2058	0	[魂]太史慈	"收集10个[魂]太史慈,可以招募出太史慈"	0	4	2	0	1	(600507)	0	meishu/wujiang/touxiang/fang/T_f_taishici.png	3
2059	0	[魂]许褚	"收集10个[魂]许褚,可以招募出许褚"	0	4	2	0	1	(600508)	0	meishu/wujiang/touxiang/fang/T_f_xuchu.png	3
2060	0	[魂]张飞	"收集10个[魂]张飞,可以招募出张飞"	0	4	2	0	1	(600509)	0	meishu/wujiang/touxiang/fang/T_f_zhangfei.png	3
2061	0	[魂]关羽	"收集10个[魂]关羽,可以招募出关羽"	0	4	2	0	1	(600510)	0	meishu/wujiang/touxiang/fang/T_f_guanyu.png	3
2062	0	[魂]鲁肃	"收集10个[魂]鲁肃,可以招募出鲁肃"	0	4	2	0	1	(600511)	0	meishu/wujiang/touxiang/fang/T_f_lusu.png	3
2063	0	[魂]马超	"收集10个[魂]马超,可以招募出马超"	0	4	2	0	1	(600512)	0	meishu/wujiang/touxiang/fang/T_f_machao.png	3
2064	0	[魂]夏侯惇	"收集10个[魂]夏侯惇,可以招募出夏侯惇"	0	4	2	0	1	(600513)	0	meishu/wujiang/touxiang/fang/T_f_xuahoudun.png	3
2065	0	[魂]袁绍	"收集10个[魂]袁绍,可以招募出袁绍"	0	4	2	0	1	(600514)	0	meishu/wujiang/touxiang/fang/T_f_yuanshao.png	3
2066	0	[魂]张角	"收集10个[魂]张角,可以招募出张角"	0	4	2	0	1	(600515)	0	meishu/wujiang/touxiang/fang/T_f_zhangjiao.png	3
2067	0	[魂]周泰	"收集10个[魂]周泰,可以招募出周泰"	0	4	2	0	1	(600516)	0	meishu/wujiang/touxiang/fang/T_f_zhoutai.png	3
2068	0	[魂]大乔	"收集10个[魂]大乔,可以招募出大乔"	0	4	2	0	1	(600517)	0	meishu/wujiang/touxiang/fang/T_f_daqiao.png	3
2069	0	[魂]小乔	"收集10个[魂]小乔,可以招募出小乔"	0	4	2	0	1	(600518)	0	meishu/wujiang/touxiang/fang/T_f_xiaoqiao.png	3
2070	0	[魂]董卓	"收集10个[魂]董卓,可以招募出董卓"	0	4	2	0	1	(600519)	0	meishu/wujiang/touxiang/fang/T_f_dongzhuo.png	3
2071	0	[魂]黄盖	"收集10个[魂]黄盖,可以招募出黄盖"	0	4	2	0	1	(600520)	0	meishu/wujiang/touxiang/fang/T_f_huanggai.png	3
2072	0	[魂]黄忠	"收集10个[魂]黄忠,可以招募出黄忠"	0	4	2	0	1	(600521)	0	meishu/wujiang/touxiang/fang/T_f_huangzhong.png	3
2073	0	[魂]庞统	"收集10个[魂]庞统,可以招募出庞统"	0	4	2	0	1	(600522)	0	meishu/wujiang/touxiang/fang/T_f_pangtong.png	3
2074	0	[魂]孙尚香	"收集10个[魂]孙尚香,可以招募出孙尚香"	0	4	2	0	1	(600523)	0	meishu/wujiang/touxiang/fang/T_f_sunshangxiang.png	3
2075	0	[魂]荀彧	"收集10个[魂]荀彧,可以招募出荀彧"	0	4	2	0	1	(600524)	0	meishu/wujiang/touxiang/fang/T_f_xunyu.png	3
2076	0	[魂]华雄	"收集10个[魂]华雄,可以招募出华雄"	0	4	2	0	1	(600525)	0	meishu/wujiang/touxiang/fang/T_f_huaxiong.png	3
2077	0	[魂]文丑	"收集10个[魂]文丑,可以招募出文丑"	0	4	2	0	1	(600526)	0	meishu/wujiang/touxiang/fang/T_f_wenchou.png	3
2078	0	[魂]徐庶	"收集10个[魂]徐庶,可以招募出徐庶"	0	4	2	0	1	(600527)	0	meishu/wujiang/touxiang/fang/T_f_xushu.png	3
2079	0	[魂]颜良	"收集10个[魂]颜良,可以招募出颜良"	0	4	2	0	1	(600528)	0	meishu/wujiang/touxiang/fang/T_f_yanliang.png	3
2080	0	[魂]贾诩	"收集10个[魂]贾诩,可以招募出贾诩"	0	4	2	0	1	(600529)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2081	0	[魂]郭嘉	"收集10个[魂]郭嘉,可以招募出郭嘉"	0	4	2	0	1	(600530)	0	meishu/wujiang/touxiang/fang/T_f_guojia.png	3
2082	0	一流武将[魂]	收集10个一流武将[魂]，可以获得一个一流武将	0	4	2	0	1	(4)	0	meishu/ui/wupin/60701.png	3
2083	0	[魂]吕布	"收集10个[魂]吕布,可以招募出吕布"	0	5	2	0	1	(700602)	0	meishu/wujiang/touxiang/fang/T_f_lvbu.png	3
2084	0	传奇武将[魂]	收集10个传奇武将[魂]，可以获得一个传奇武将	0	5	2	0	1	(5)	0	meishu/ui/wupin/60702.png	3
2085	0	[魂]刘备	"收集10个[魂]刘备,可以招募出刘备"	0	5	2	0	1	(700601)	0	meishu/wujiang/touxiang/fang/T_f_liubei.png	3
2086	0	[魂]曹丕	"收集10个[魂]曹丕,可以招募出曹丕"	0	4	2	0	1	(600531)	0	meishu/wujiang/touxiang/fang/T_f_lingtong.png	3
2087	0	[魂]关银屏	"收集10个[魂]关银屏,可以招募出关银屏"	0	4	2	0	1	(600532)	0	meishu/wujiang/touxiang/fang/T_f_lvlingqi.png	3
2088	0	[魂]凌统	"收集10个[魂]凌统,可以招募出凌统"	0	4	2	0	1	(600533)	0	meishu/wujiang/touxiang/fang/T_f_lingtong.png	3
2089	0	[魂]吕玲绮	"收集10个[魂]吕玲绮,可以招募出吕玲绮"	0	4	2	0	1	(600534)	0	meishu/wujiang/touxiang/fang/T_f_zhurong.png	3
2090	0	[魂]孟获	"收集10个[魂]孟获,可以招募出孟获"	0	4	2	0	1	(600535)	0	meishu/wujiang/touxiang/fang/T_f_zhangxingcai.png	3
2091	0	[魂]祝融	"收集10个[魂]祝融,可以招募出祝融"	0	4	2	0	1	(600536)	0	meishu/wujiang/touxiang/fang/T_f_zhangchunhua.png	3
2092	0	[魂]张星彩	"收集10个[魂]张星彩,可以招募出张星彩"	0	4	2	0	1	(600537)	0	meishu/wujiang/touxiang/fang/T_f_zhanghe.png	3
2093	0	[魂]张春华	"收集10个[魂]张春华,可以招募出张春华"	0	4	2	0	1	(600538)	0	meishu/wujiang/touxiang/fang/T_f_zhenji.png	3
2094	0	[魂]张郃	"收集10个[魂]张郃,可以招募出张郃"	0	4	2	0	1	(600539)	0	meishu/wujiang/touxiang/fang/T_f_jiangwei.png	3
2095	0	[魂]甄姬	"收集10个[魂]甄姬,可以招募出甄姬"	0	4	2	0	1	(600540)	0	meishu/wujiang/touxiang/fang/T_f_huangyueying.png	3
2096	0	[魂]姜维	"收集10个[魂]姜维,可以招募出姜维"	0	4	2	0	1	(600541)	0	meishu/wujiang/touxiang/fang/T_f_weiyan.png	3
2097	0	[魂]黄月英	"收集10个[魂]黄月英,可以招募出黄月英"	0	4	2	0	1	(600542)	0	meishu/wujiang/touxiang/fang/T_f_xiahouyuan.png	3
2098	0	[魂]魏延	"收集10个[魂]魏延,可以招募出魏延"	0	4	2	0	1	(600543)	0	meishu/wujiang/touxiang/fang/T_f_sunjian.png	3
2099	0	[魂]夏侯渊	"收集10个[魂]夏侯渊,可以招募出夏侯渊"	0	4	2	0	1	(600544)	0	meishu/wujiang/touxiang/fang/T_f_xuhuang.png	3
2100	0	[魂]孙坚	"收集10个[魂]孙坚,可以招募出孙坚"	0	4	2	0	1	(600545)	0	meishu/wujiang/touxiang/fang/T_f_sunjian.png	3
2101	0	[魂]徐晃	"收集10个[魂]徐晃,可以招募出徐晃"	0	4	2	0	1	(600546)	0	meishu/wujiang/touxiang/fang/T_f_xuhuang.png	3
2102	0	[魂]张飞	"收集10个[魂]张飞,可以招募出张飞"	0	5	2	0	1	(700615)	0	meishu/wujiang/touxiang/fang/T_f_zhangfei.png	3
2103	0	[魂]曹操	"收集10个[魂]曹操,可以招募出曹操"	0	5	2	0	1	(700654)	0	meishu/wujiang/touxiang/fang/T_f_caocao.png	3
2104	0	[魂]孙权	"收集10个[魂]孙权,可以招募出孙权"	0	5	2	0	1	(700652)	0	meishu/wujiang/touxiang/fang/T_f_sunquan.png	3
2105	0	[魂]典韦	"收集10个[魂]典韦,可以招募出典韦"	0	4	2	0	1	(600504)	0	meishu/wujiang/touxiang/fang/T_f_dianwei.png	3
2106	0	[魂]太史慈	"收集10个[魂]太史慈,可以招募出太史慈"	0	4	2	0	1	(600507)	0	meishu/wujiang/touxiang/fang/T_f_taishici.png	3
2107	0	[魂]许褚	"收集10个[魂]许褚,可以招募出许褚"	0	4	2	0	1	(600508)	0	meishu/wujiang/touxiang/fang/T_f_xuchu.png	3
2108	0	[魂]夏侯惇	"收集10个[魂]夏侯惇,可以招募出夏侯惇"	0	4	2	0	1	(600513)	0	meishu/wujiang/touxiang/fang/T_f_xuahoudun.png	3
4001	0	加速符	在强化、训练时使用，可以清除冷却时间	0	4	4	0	1	(1)	100	meishu/ui/wupin/60401.png	0
5001	0	强化保护符	在装备强化时，使成功率上升至100%	0	4	5	0	1	(1)	100	meishu/ui/wupin/60501.png	0
6001	0	初级招募令	使用后，可以进行初级招募	0	2	6	0	1	(1)	100	meishu/ui/wupin/60601.png	0
6002	0	中级招募令	使用后，可以进行中级招募	0	3	6	0	1	(2)	100	meishu/ui/wupin/60602.png	0
6003	0	高级招募令	使用后，可以进行高级招募	0	4	6	0	1	(3)	100	meishu/ui/wupin/60603.png	0
8001	0	新手礼包	获得：豪杰大礼包*1 招募大礼包*1 10级礼包*1 冶炼大礼包*1	0	4	8	0	1	(1462)	0	meishu/ui/wupin/60804.png	1
8002	0	10级礼包	获得：5000铜钱 突飞令*2 加速符*2 初级招募令*1 生铁*1	0	4	8	0	10	(1463)	0	meishu/ui/wupin/60804.png	1
8003	0	20级礼包	获得：10000铜钱 突飞令*4 加速符*4 初级招募令*2 生铁*2	0	4	8	0	20	(1464)	0	meishu/ui/wupin/60804.png	1
8004	0	30级礼包	获得：30000铜钱 突飞令*8 加速符*8 初级招募令*4 生铁*4	0	4	8	0	30	(1465)	0	meishu/ui/wupin/60804.png	1
8005	0	40级礼包	获得：50000铜钱 突飞令*10 加速符*10 中级招募令*3 精铁*1	0	4	8	0	40	(1466)	0	meishu/ui/wupin/60804.png	1
8006	0	50级礼包	获得：100000*铜钱 突飞令*14 加速符*14 中级招募令*6 精铁*2	0	4	8	0	50	(1467)	0	meishu/ui/wupin/60804.png	1
8007	0	60级礼包	获得：120000铜钱 突飞令*20 加速符*20 中级招募令*8 精铁*4	0	4	8	0	60	(1468)	0	meishu/ui/wupin/60804.png	1
8008	0	文官套装礼包	获得：毛笔*1 布甲护腕*1 布帽*1 布衣*1 布鞋*1	0	4	8	0	1	(1469)	0	meishu/ui/wupin/60804.png	1
8009	0	新手套装	获得：铁剑*1 铁腕*1 铁头盔*1 铁甲*1 铁履*1	0	4	8	0	1	(1470)	0	meishu/ui/wupin/60804.png	1
8010	0	豪杰大礼包	获得：突飞令*5 加速符*5 强征征收令*5 强化保护符*5 虎符*5	0	4	8	0	1	(1471)	0	meishu/ui/wupin/60804.png	1
8011	0	招募大礼包	获得：初级招募令*10 中级招募令*5 高级招募令*1 专家级训练*3	0	4	8	0	1	(1472)	0	meishu/ui/wupin/60804.png	1
8012	0	关羽的馈赠	获得：一流武将[魂]*2 高级招募令*1  爆雷方天戟*1 突飞令*5 强化保护符*5	0	4	8	0	1	(1473)	0	meishu/ui/wupin/60804.png	1
8013	0	天龙套装礼包	获得：爆雷方天戟*1 天龙头盔*1 天龙护腕*1 天龙甲*1 天龙履*1	0	4	8	0	1	(1474)	0	meishu/ui/wupin/60804.png	1
8014	0	VIP1礼包	"1个中级招募令，5个强征令，2个突飞令,1个精铁"	0	4	8	0	1	(1475)	0	meishu/ui/wupin/60806.png	1
8015	0	VIP2礼包	2个中级招募令，15进阶符，20个突飞令，2个精铁	0	4	8	0	1	(1476)	0	meishu/ui/wupin/60806.png	1
8016	0	VIP3礼包	1个高级招募令，6进阶符，20个突飞令，1个玄铁	0	4	8	0	1	(1477)	0	meishu/ui/wupin/60806.png	1
8017	0	VIP4礼包	2个高级招募令，30进阶符，40个突飞令，1个玄铁	0	4	8	0	1	(1478)	0	meishu/ui/wupin/60806.png	1
8018	0	VIP5礼包	5个高级招募令，105进阶符，60个突飞令，5个玄铁	0	4	8	0	1	(1479)	0	meishu/ui/wupin/60806.png	1
8019	0	VIP6礼包	30个高级招募令，80个突飞令	0	4	8	0	1	(1480)	0	meishu/ui/wupin/60806.png	1
8020	0	VIP7礼包	40个玄铁，200个突飞令	0	4	8	0	1	(1481)	0	meishu/ui/wupin/60806.png	1
8021	0	VIP8礼包	50个高级招募令，350进阶符，200个突飞令	0	4	8	0	1	(1482)	0	meishu/ui/wupin/60806.png	1
8022	0	VIP9礼包	35个高级招募令，700进阶符，300个突飞令，15个玄铁	0	4	8	0	1	(1483)	0	meishu/ui/wupin/60806.png	1
8023	0	VIP10礼包	50个高级招募令，1200进阶符，500个突飞令，20个玄铁	0	4	8	0	1	(1484)	0	meishu/ui/wupin/60806.png	1
8024	0	20级装备礼包	获得20级战虎套装一套	0	3	8	0	1	(1485)	0	meishu/ui/wupin/60804.png	1
8025	0	30级装备礼包	获得30级天龙套装一套	0	4	8	0	1	(1486)	0	meishu/ui/wupin/60804.png	1
9001	0	突飞令	用于训练，每次可以获得100经验	0	3	9	0	1	(1)	100	meishu/ui/wupin/60901.png	0
9002	0	专家级训练符	进行专家训练的必要武将	0	5	9	0	1	(1)	100	meishu/ui/wupin/60902.png	0
1001	0	强征征收令	使用此令可以进行强制征收	0	4	10	0	1	(1)	100	meishu/ui/wupin/61001.png	0
1002	0	补签令	忘记签到没有关系，用这个就可以了	0	4	10	0	1	(1)	100	meishu/ui/wupin/61002.png	0
1003	0	进阶符	用于兵种训练进阶，每次练兵消耗一张进阶符	0	4	26	0	1	(1)	100	meishu/ui/wupin/61003.png	0
1151	0	铁剑	0	0	1	11	2	1	"(2,1,250,25,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61151.png	2
1152	0	虎闪刀	0	0	2	11	2	1	"(2,1,400,40,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61152.png	2
1153	0	灭天锤	0	0	3	11	2	1	"(2,1,600,60,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61153.png	2
1154	0	爆雷方天戟	0	4	4	11	2	1	"(2,1,850,85,1,2,3,4,5,6,7,8,9,10)"	0	meishu/ui/wupin/61154.png	0
1251	0	铁腕	0	0	1	12	2	1	"(2,1,150,15,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61251.png	2
1252	0	地狼护腕	0	0	2	12	2	1	"(2,1,240,24,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61252.png	2
1253	0	战虎护腕	0	0	3	12	2	1	"(2,1,360,36,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61253.png	2
1254	0	天龙护腕	0	4	4	12	2	1	"(2,1,510,51,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	0	meishu/ui/wupin/61254.png	0
1351	0	铁头盔	0	0	1	13	2	1	"(1,1,300,150,1,2,3,4,5,6,7,8,9,10)(2,1,100,10,1,2,3,4,5,6,7,8,9,10)(4,1,20,0)"	2	meishu/ui/wupin/61351.png	2
1352	0	地狼头盔	0	0	2	13	2	1	"(1,1,500,250,1,2,3,4,5,6,7,8,9,10)(2,1,160,16,1,2,3,4,5,6,7,8,9,10)(4,1,20,0)"	2	meishu/ui/wupin/61352.png	2
1353	0	战虎头盔	0	0	3	13	2	1	"(1,1,700,350,1,2,3,4,5,6,7,8,9,10)(2,1,240,24,1,2,3,4,5,6,7,8,9,10)(4,1,20,0)"	2	meishu/ui/wupin/61353.png	2
1354	0	天龙头盔	0	4	4	13	2	1	"(1,1,900,450,1,2,3,4,5,6,7,8,9,10)(2,1,340,34,1,2,3,4,5,6,7,8,9,10)(4,1,20,0)"	0	meishu/ui/wupin/61354.png	0
1451	0	铁甲	0	0	1	14	2	1	"(1,1,750,375,1,2,3,4,5,6,7,8,9,10)(4,1,6,0)"	2	meishu/ui/wupin/61451.png	2
1452	0	地狼甲	0	0	2	14	2	1	"(1,1,1250,625,1,2,3,4,5,6,7,8,9,10)(4,1,6,0)"	2	meishu/ui/wupin/61452.png	2
1453	0	战虎甲	0	0	3	14	2	1	"(1,1,1750,875,1,2,3,4,5,6,7,8,9,10)(4,1,6,0)"	2	meishu/ui/wupin/61453.png	2
1454	0	天龙甲	0	4	4	14	2	1	"(1,1,2250,1125,1,2,3,4,5,6,7,8,9,10)(4,1,6,0)"	0	meishu/ui/wupin/61454.png	0
1551	0	铁履	0	0	1	15	2	1	"(1,1,450,225,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61551.png	2
1552	0	地狼履	0	0	2	15	2	1	"(1,1,750,375,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61552.png	2
1553	0	战虎履	0	0	3	15	2	1	"(1,1,1050,525,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	2	meishu/ui/wupin/61553.png	2
1554	0	天龙履	0	4	4	15	2	1	"(1,1,1350,675,1,2,3,4,5,6,7,8,9,10)(4,1,10,0)"	0	meishu/ui/wupin/61554.png	0
1601	0	布披风	0	0	1	16	2	1	"(1,1,450,225,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61601.png	2
1602	0	地狼披风	0	0	3	16	2	1	"(2,1,360,36,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61602.png	2
1603	0	战虎披风	0	0	3	16	2	1	"(1,1,1050,525,1,2,3,4,5,6,7,8,9,10)"	2	meishu/ui/wupin/61603.png	2
