ID	唯一值	描述	提示语
83	UI_BUTTON_NAME_34	VIP3开启	VIP3开启
84	UI_BUTTON_NAME_35	确认	确认
85	UI_BUTTON_NAME_36	取消	取消
86	UI_BUTTON_NAME_37	道具	道具
87	UI_BUTTON_NAME_38	装备	装备
88	UI_BUTTON_NAME_39	碎片	碎片
89	UI_BUTTON_NAME_40	合成	合成
90	UI_BUTTON_NAME_41	卖出	卖出
91	UI_BUTTON_NAME_42	打开	打开
92	UI_BUTTON_NAME_43	领取	领取
93	UI_BUTTON_NAME_44	兵种	兵种
94	UI_BUTTON_NAME_45	注资	注资
95	UI_BUTTON_NAME_46	研究	研究
96	UI_BUTTON_NAME_47	加速	加速
97	UI_BUTTON_NAME_48	礼包	礼包
98	UI_BUTTON_NAME_49	符文	符文
99	UI_BUTTON_NAME_50	充值	充值
100	UI_BUTTON_NAME_51	购买	购买
101	UI_BUTTON_NAME_52	阵型选择	阵型选择
102	UI_BUTTON_NAME_53	领取奖励	领取奖励
103	UI_BUTTON_NAME_54	荣誉商店	荣誉商店
104	UI_BUTTON_NAME_55	排行榜	排行榜
105	UI_BUTTON_NAME_56	奖励列表	奖励列表
106	UI_BUTTON_NAME_57	阵型一	阵型一
107	UI_BUTTON_NAME_58	阵型二	阵型二
108	UI_BUTTON_NAME_59	阵型三	阵型三
109	UI_BUTTON_NAME_60	自动	自动
110	UI_BUTTON_NAME_61	保存退出	保存退出
111	UI_BUTTON_NAME_62	扫荡	扫荡
112	UI_BUTTON_NAME_63	声音设置	声音设置
113	UI_BUTTON_NAME_64	用户中心	用户中心
114	UI_BUTTON_NAME_65	装备强化	装备强化
115	UI_BUTTON_NAME_66	仓库	仓库
116	UI_BUTTON_NAME_67	军营	军营
117	UI_BUTTON_NAME_68	布阵	布阵
118	UI_BUTTON_NAME_69	任务	任务
119	UI_BUTTON_NAME_70	科技	科技
120	UI_BUTTON_NAME_71	商城	商城
121	UI_BUTTON_NAME_72	沙场点兵	沙场点兵
122	UI_BUTTON_NAME_73	沙场排行	沙场排行
123	UI_BUTTON_NAME_74	奖励列表	奖励列表
124	UI_BUTTON_NAME_75	荣誉商店	荣誉商店
125	UI_BUTTON_NAME_76	设置	设置
126	UI_BUTTON_NAME_77	士兵进阶	士兵进阶
127	UI_BUTTON_NAME_78	一键放入	一键放入
128	UI_BUTTON_NAME_79	开始转生	开始转生
129	UI_BUTTON_NAME_80	提示	提示
130	UI_BUTTON_NAME_81	综合排行	综合排行
131	UI_BUTTON_NAME_82	战斗力	战斗力
132	UI_BUTTON_NAME_83	英雄榜	英雄榜
133	UI_BUTTON_NAME_84	敌方信息	敌方信息
134	UI_BUTTON_NAME_85	敌方武将	敌方武将
135	UI_BUTTON_NAME_86	敌方兵种	敌方兵种
136	UI_BUTTON_NAME_87	开始战斗	开始战斗
137	UI_BUTTON_NAME_88	叫阵敌将	叫阵敌将
138	UI_BUTTON_NAME_89	关卡扫荡	关卡扫荡
139	UI_BUTTON_NAME_90	开始扫荡	开始扫荡
140	UI_BUTTON_NAME_91	扫荡	扫荡
141	UI_gz_move_binglibuzu	兵力不足，无法移动	兵力不足，无法移动
142	UI_gz_move_zhandou	战斗中，无法移动	战斗中，无法移动
143	UI_gz_move_dest	无法直接到达目标城池	无法直接到达目标城池
144	UI_battle_quit	主公真的要退出战斗吗？退出可就失败了哟！	主公真的要退出战斗吗？退出可就失败了哟！
145	UI_scdb_01	沙场点兵	挑战次数不足，是否使用挑战令？
