编号	设计类型	开启	名称	描述	头像	全身像	卡牌形象	序列帧	星级	品质	等级	类别	类型	生命	攻击	攻速	攻距Min	攻距	速度	人口	生命up	攻击up	技能名称	普通攻击	技能攻击	技能攻击2	技能攻击3	技能CD	普通攻击伤害系数	技能1伤害系数	技能2伤害系数	技能3伤害系数	技能图标	技能品质	长度	宽度	是否能转生	升星等级	获取方式	资质	仇恨范围X(单位：格子)	仇恨范围Y(单位：格子)					
10014	12	1	禁卫弩兵	中级远程兵种，对单个敌人进行高速连续射击	10014	10014	0	10014	2	4	1	1	3	1500	1065	110	0	9	250	5	150	107	0	55014	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10015	12	1	诸葛神弩	中级远程兵种，对单个敌人进行高速连续射击	10015	10015	0	10015	2	5	1	1	3	1640	1170	120	0	10	250	5	164	117	0	55015	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10016	12	1	诸葛神弩	中级远程兵种，对单个敌人进行高速连续射击	10015	10015	0	10015	2	6	1	1	3	3899	1412	100	0	12	300	5	390	141	0	55016	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10017	12	1	诸葛神弩	中级远程兵种，对单个敌人进行高速连续射击	10015	10015	0	10015	2	7	1	1	3	4101	1485	100	0	12	300	5	410	149	0	55017	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10018	12	1	诸葛神弩	中级远程兵种，对单个敌人进行高速连续射击	10015	10015	0	10015	2	8	1	1	3	4303	1557	100	0	12	300	5	430	156	0	55018	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10019	12	1	诸葛神弩	中级远程兵种，对单个敌人进行高速连续射击	10015	10015	0	10015	2	9	1	1	3	4505	1630	100	0	12	300	5	451	163	0	55019	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10020	12	1	远古神弩	中级远程兵种，对单个敌人进行高速连续射击	0	0	0	0	2	10	1	1	3	4908	1775	100	0	12	300	5	491	178	0	55020	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10021	13	1	炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10021	10021	0	10021	2	1	1	1	3	1440	560	50	0	12	250	5	144	56	0	55021	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	20	20					
10022	13	1	重炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10021	10021	0	10021	2	2	1	1	3	1536	600	50	0	12	250	5	154	60	0	55022	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	20					
10023	13	1	精英炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10021	10021	0	10021	2	3	1	1	3	1656	650	50	0	13	250	5	166	65	0	55023	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	20					
10024	13	1	禁卫炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10024	10024	0	10024	2	4	1	1	3	1800	710	50	0	13	250	5	180	71	0	55024	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	20					
10025	13	1	神机炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10025	10025	0	10025	2	5	1	1	3	1968	780	50	0	14	250	5	197	78	0	55025	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	20					
10026	13	1	神机炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10025	10025	0	10025	2	6	2	1	3	3704	1046	50	0	13	300	5	370	105	0	55026	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10027	13	1	神机炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10025	10025	0	10025	2	7	3	1	3	3896	1100	50	0	13	300	5	390	110	0	55027	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10028	13	1	神机炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10025	10025	0	10025	2	8	4	1	3	4088	1154	50	0	13	300	5	409	115	0	55028	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10029	13	1	神机炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	10025	10025	0	10025	2	9	5	1	3	4279	1207	50	0	13	300	5	428	121	0	55029	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10030	13	1	远古炮兵	中级远程兵种，对较大范围内多个敌人造成伤害	0	0	0	0	2	10	6	1	3	4663	1315	50	0	13	300	5	466	132	0	55030	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10031	14	1	弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10031	10031	0	10031	3	1	1	1	3	4200	739	150	0	10	200	10	420	74	0	55031	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	20	5					
10032	14	1	连弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10031	10031	0	10031	3	2	1	1	3	4480	792	150	0	10	200	10	448	79	0	55032	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10033	14	1	精英弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10031	10031	0	10031	3	3	1	1	3	4830	858	180	0	11	200	10	483	86	0	55033	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10034	14	1	禁卫弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10034	10034	0	10034	3	4	1	1	3	5250	937	180	0	11	200	10	525	94	0	55034	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10035	14	1	灭神弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10035	10035	0	10035	3	5	1	1	3	5740	1030	210	0	12	200	10	574	103	0	55035	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10036	14	1	灭神弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10035	10035	0	10035	3	6	1	1	3	7798	3138	100	0	13	200	10	780	314	0	55036	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10037	14	1	灭神弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10035	10035	0	10035	3	7	1	1	3	8202	7132	50	0	13	200	10	820	713	0	55037	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10038	14	1	灭神弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10035	10035	0	10035	3	8	1	1	3	8606	7488	50	0	13	200	10	861	749	0	55038	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10039	14	1	灭神弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	10035	10035	0	10035	3	9	1	1	3	9009	7843	50	0	13	200	10	901	784	0	55039	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10040	14	1	远古弩车	高级远程兵种，超高速射击，对单个敌人伤害巨大	0	0	0	0	3	10	1	1	3	9817	8553	50	0	13	200	10	982	855	0	55040	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10041	15	1	投石车	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10041	10041	0	10041	3	1	1	1	3	4200	1848	30	9	35	150	10	420	185	0	55041	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	60	5					
10042	15	1	抛石机	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10041	10041	0	10041	3	2	1	1	3	4480	2010	30	9	38	150	10	448	201	0	55042	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	60	5					
10043	15	1	精英投石	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10041	10041	0	10041	3	3	1	1	3	4830	2195	30	9	41	150	10	483	220	0	55043	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	60	5					
10044	15	1	禁卫投石	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10044	10044	0	10044	3	4	1	1	3	5250	2423	30	9	44	150	10	525	242	0	55044	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	60	5					
10045	15	1	天神散花	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10045	10045	0	10045	3	5	1	1	3	5740	2675	30	9	47	150	10	574	268	0	55045	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	60	5					
10046	15	1	天神散花	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10045	10045	0	10045	3	6	1	1	3	6239	3486	20	9	43	150	10	624	349	0	55046	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	60	5					
10047	15	1	天神散花	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10045	10045	0	10045	3	7	1	1	3	6561	3666	20	9	43	150	10	656	367	0	55047	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	60	5					
10048	15	1	天神散花	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10045	10045	0	10045	3	8	1	1	3	6884	3845	20	9	43	150	10	688	385	0	55048	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	60	5					
10049	15	1	天神散花	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	10045	10045	0	10045	3	9	1	1	3	7207	4024	20	9	43	150	10	721	402	0	55049	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	60	5					
10050	15	1	远古投石	高级远程兵种，超远距离射击，对大范围内敌人造成伤害	0	0	0	0	3	10	1	1	3	7853	4383	20	9	43	150	10	785	438	0	55050	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	60	5					
10051	99999	0	尸王	0	0	0	0	0	1	5	1	1	1	17580	4104	150	0	1	200	5	1757	410	0	55051	0	0	0	0	100	0	0	0	0	0	1	1	0	0	无	0	15	5					
10052	99999	0	行走僵尸	0	0	0	0	0	1	2	1	1	1	220	220	50	0	1	300	5	22	22	0	55052	0	0	0	0	100	0	0	0	0	0	1	1	0	0	无	0	15	5					
10053	99999	0	精英僵尸	0	0	0	0	0	1	3	1	1	1	250	250	50	0	1	300	1	25	25	0	55053	0	0	0	0	100	0	0	0	0	0	1	1	0	0	无	0	15	5					
10054	99999	0	禁卫僵尸	0	0	0	0	0	1	4	1	1	1	4400	3660	150	0	1	300	5	440	366	0	55054	0	0	0	0	100	0	0	0	0	0	1	1	0	0	无	0	15	5					
10055	99999	0	僵尸投手	0	0	0	0	0	1	5	1	1	3	2930	1180	100	0	12	300	1	293	118	0	55055	0	0	0	0	100	0	0	0	0	0	1	1	0	0	无	0	15	5					
10056	20	1	锤兵	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10056	10056	0	10056	1	1	1	1	1	550	500	100	0	1	300	1	55	50	0	55056	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
10057	20	1	铁锤兵	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10056	10056	0	10056	1	2	1	1	1	590	540	110	0	1	300	1	59	54	0	55057	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10058	20	1	精英锤兵	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10056	10056	0	10056	1	3	1	1	1	640	590	120	0	1	300	1	64	59	0	55058	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10059	20	1	禁卫锤兵	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10059	10059	0	10059	1	4	1	1	1	700	650	130	0	1	300	1	70	65	0	55059	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10060	20	1	雷神之怒	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10060	10060	0	10060	1	5	1	1	1	770	720	140	0	1	300	1	77	72	0	55060	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10061	20	1	雷神之怒	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10060	10060	0	10060	1	6	1	1	1	1378	1341	150	0	1	300	1	138	134	0	55061	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10062	20	1	雷神之怒	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10060	10060	0	10060	1	7	1	1	1	1446	1388	150	0	1	300	1	145	139	0	55062	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10063	20	1	雷神之怒	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10060	10060	0	10060	1	8	1	1	1	1519	1434	150	0	1	300	1	152	143	0	55063	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10064	20	1	雷神之怒	初级攻击兵种，使用铁锤对单个敌人造成伤害。	10060	10060	0	10060	1	9	1	1	1	1587	1481	150	0	1	300	1	159	148	0	55064	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10065	20	1	远古战锤	初级攻击兵种，使用铁锤对单个敌人造成伤害。	0	0	0	0	1	10	1	1	1	1741	1575	150	0	1	300	1	174	158	0	55065	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10066	22	1	枪兵	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10066	10066	0	10066	2	1	1	1	1	3300	3000	130	0	2	300	5	330	300	0	55066	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
10067	22	1	长枪兵	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10066	10066	0	10066	2	2	1	1	1	3540	3240	140	0	2	310	5	354	324	0	55067	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10068	22	1	精英枪兵	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10066	10066	0	10066	2	3	1	1	1	3840	3540	150	0	2	320	5	384	354	0	55068	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10069	22	1	禁卫枪兵	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10069	10069	0	10069	2	4	1	1	1	4200	3900	160	0	2	330	5	420	390	0	55069	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10070	22	1	破天神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10070	10070	0	10070	2	5	1	1	1	4620	4320	170	0	2	340	5	462	432	0	55070	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10071	22	1	破天神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10070	10070	0	10070	2	6	1	1	1	6261	6703	150	0	2	300	5	626	670	0	55071	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10072	22	1	破天神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10070	10070	0	10070	2	7	1	1	1	6573	6938	150	0	2	300	5	657	694	0	55072	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10073	22	1	破天神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10070	10070	0	10070	2	8	1	1	1	6904	7171	150	0	2	300	5	690	717	0	55073	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10074	22	1	破天神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	10070	10070	0	10070	2	9	1	1	1	7216	7403	150	0	2	300	5	722	740	0	55074	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10075	22	1	远古神戟	中级攻击兵种，使用长矛的士兵，对单个敌人造成伤害。	0	0	0	0	2	10	1	1	1	7913	7873	150	0	2	300	5	791	787	0	55075	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10076	23	1	酒鬼	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10076	10076	0	10076	2	1	1	1	1	2970	2250	100	0	2	300	5	297	225	0	55076	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
10077	23	1	老酒鬼	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10076	10076	0	10076	2	2	1	1	1	3186	2430	100	0	2	300	5	319	243	0	55077	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10078	23	1	精英酒鬼	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10076	10076	0	10076	2	3	1	1	1	3456	2655	120	0	2	300	5	346	266	0	55078	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10079	23	1	禁卫酒鬼	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10079	10079	0	10079	2	4	1	1	1	3780	2925	120	0	2	300	5	378	293	0	55079	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10080	23	1	葫芦金刚	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10080	10080	0	10080	2	5	1	1	1	4158	3240	140	0	2	300	5	416	324	0	55080	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10081	23	1	葫芦金刚	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10080	10080	0	10080	2	6	1	1	1	6261	2234	150	0	2	300	5	626	223	0	55081	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10082	23	1	葫芦金刚	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10080	10080	0	10080	2	7	1	1	1	6573	2313	150	0	2	300	5	657	231	0	55082	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10083	23	1	葫芦金刚	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10080	10080	0	10080	2	8	1	1	1	6904	2390	150	0	2	300	5	690	239	0	55083	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10084	23	1	葫芦金刚	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	10080	10080	0	10080	2	9	1	1	1	7216	2468	150	0	2	300	5	722	247	0	55084	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10085	23	1	远古酒神	中级攻击兵种，用高浓度酒来攻击敌人，对范围敌人造成伤害。	0	0	0	0	2	10	1	1	1	7913	2624	150	0	2	300	5	791	262	0	55085	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10086	24	1	骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10086	10086	0	10086	3	1	1	1	1	5940	6000	100	0	1	450	10	594	600	0	55086	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
10087	24	1	重骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10086	10086	0	10086	3	2	1	1	1	6372	6480	120	0	1	480	10	637	648	0	55087	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10088	24	1	精英骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10086	10086	0	10086	3	3	1	1	1	6912	7080	140	0	1	510	10	691	708	0	55088	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10089	24	1	禁卫骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10089	10089	0	10089	3	4	1	1	1	7560	7800	160	0	1	540	10	756	780	0	55089	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10090	24	1	枪骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10090	10090	0	10090	3	5	1	1	1	8316	8640	180	0	1	570	10	832	864	0	55090	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10091	24	1	枪骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10090	10090	0	10090	3	6	1	1	1	12523	10725	150	0	1	600	10	1252	1073	0	55091	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10092	24	1	枪骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10090	10090	0	10090	3	7	1	1	1	13147	11101	150	0	1	600	10	1315	1110	0	55092	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10093	24	1	枪骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10090	10090	0	10090	3	8	1	1	1	13807	11473	150	0	1	600	10	1381	1147	0	55093	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10094	24	1	枪骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	10090	10090	0	10090	3	9	1	1	1	14431	11845	150	0	1	600	10	1443	1185	0	55094	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10095	24	1	远古骑兵	高级攻击兵种，使用长枪的骑兵，对单个敌人造成伤害。	0	0	0	0	3	10	1	1	1	15826	12596	150	0	1	600	10	1583	1260	0	55095	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10096	25	1	野人	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10096	10096	0	10096	3	1	1	1	1	7722	4200	100	0	1	200	10	772	420	0	55096	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
10097	25	1	大野人	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10096	10096	0	10096	3	2	1	1	1	8284	4536	100	0	1	200	10	828	454	0	55097	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10098	25	1	精英野人	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10096	10096	0	10096	3	3	1	1	1	8986	4956	120	0	1	200	10	899	496	0	55098	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10099	25	1	禁卫野人	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10099	10099	0	10099	3	4	1	1	1	9828	5460	120	0	1	200	10	983	546	0	55099	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10100	25	1	夸父后裔	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10100	10100	0	10100	3	5	1	1	1	10811	6048	140	0	1	200	10	1081	605	0	55100	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	15	5					
10101	25	1	夸父后裔	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10100	10100	0	10100	3	6	1	1	1	13775	5363	150	0	1	200	10	1378	536	0	55101	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10102	25	1	夸父后裔	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10100	10100	0	10100	3	7	1	1	1	14461	5551	150	0	1	300	10	1446	555	0	55102	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10103	25	1	夸父后裔	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10100	10100	0	10100	3	8	1	1	1	15188	5737	150	0	1	300	10	1519	574	0	55103	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10104	25	1	夸父后裔	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	10100	10100	0	10100	3	9	1	1	1	15874	5922	150	0	1	300	10	1587	592	0	55104	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10105	25	1	远古野人	高级攻击兵种，使用大棒子的巨大野蛮人，对范围敌人造成伤害。	0	0	0	0	3	10	1	1	1	17408	6298	150	0	1	300	10	1741	630	0	55105	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	15	5					
10106	30	1	盾兵	初级防御兵种，对单个敌人造成伤害。	10106	10106	0	10106	1	1	1	1	2	1100	200	100	0	1	300	1	110	20	0	55106	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	15	5					
