关卡排序,编号ID,序号,等级段,名称,大关类,类型,对话,描述,体力,城堡血量,过关奖励ID,未过关奖励ID,解锁兵种,背景,出兵序列,章节图,pvp,对白回合1,对白回合2,对白回合1ID,对白回合2ID
8,1008,8,3,泰山-8,1,1,0,泰山 黄巾之乱第1关,1,10000,52008,52608,0,1,"(10001,4,5)(10001,1,5)(10056,1,6)(10106,1,4)[(5554,4,1),(10001,1,5)](10056,1,2)(10056,1,5)(10001,1,6)(10001,1,4)(10056,1,5)(10001,1,2)(10001,1,5)(10056,1,6)(10106,1,4)(10056,1,11)(10001,1,11)(10001,1,11)(10106,1,11)(10106,1,8)(10001,1,8)",1,0,0,0,0,0
9,1009,9,3,泰山-9,1,2,0,泰山 黄巾之乱第1关,1,10000,52009,52609,10021,1,"(10021,5,5)(10001,1,5)(10001,1,6)(10106,1,4)(10056,1,5)(10056,1,2)(10106,1,5)(10106,1,6)(10001,1,4)(10056,1,5)(10021,5,1)(10001,1,5)(10001,1,6)(10106,1,4)(10056,1,11)(10056,1,11)(10106,1,11)(10106,1,11)(10001,1,8)(10056,1,8)",1,0,0,0,0,0
10,1010,10,4,泰山-10,1,3,0,泰山 黄巾之乱第1关,1,10000,52010,52610,0,1,,1,10,0,0,0,0
11,1011,1,4,东阿-1,2,1,0,东阿 黄巾之乱第2关,1,19647,52011,52611,0,2,"(10056,2,6)(10021,3,2)(10021,2,1)(10106,2,6)(10056,1,9)(10056,2,6)(10106,3,9)(10021,2,1)(10106,2,6)(10106,1,9)(10056,2,6)(10021,3,2)(10021,2,1)(10106,2,6)(10056,1,9)(10056,2,6)(10106,3,9)(10021,2,1)(10106,2,6)(10106,2,9)",1,0,0,0,0,0
12,1012,2,4,东阿-2,2,1,0,东阿 黄巾之乱第2关,1,19647,52012,52612,0,2,"(10021,2,2)(10001,3,12)(10001,2,10)(10106,2,8)(10106,1,12)(10021,2,2)(10106,3,12)(10001,2,10)(10001,2,8)(10106,1,12)(10021,2,2)(10001,3,12)(10001,2,10)(10106,2,8)(10106,1,12)(10021,2,2)(10106,3,12)(10001,2,10)(10001,2,8)(10106,2,12)",1,0,0,0,0,0
13,1013,3,5,东阿-3,2,2,0,东阿 黄巾之乱第2关,1,22667,52013,52613,0,2,"(10056,4,6)(10001,6,10)(10056,5,8)(10021,3,1)(10021,2,2)(10056,4,6)(10056,6,10)(10001,5,8)(10001,3,6)(10021,2,2)(10056,4,6)(10001,6,10)(10056,5,8)(10021,3,1)(10021,2,2)(10056,4,6)(10056,6,10)(10001,5,8)(10001,3,6)(10021,3,2)",1,0,0,0,0,0
14,1014,4,5,东阿-4,2,1,0,东阿 黄巾之乱第2关,1,12694,52014,52614,0,2,"(10106,3,21)(10106,4,21)(10021,4,4)(10056,2,21)(10056,2,9)(10106,3,7)(10021,4,2)(10056,4,12)(10021,2,2)(10106,2,7)(10106,3,9)(10106,4,12)(10021,4,2)(10056,2,7)(10056,2,9)(10106,3,12)(10021,4,2)(10056,4,7)(10021,2,2)(10106,2,12)",1,0,0,0,0,0
15,1015,5,5,东阿-5,2,1,0,东阿 黄巾之乱第2关,1,25687,52015,52615,0,2,"(10001,3,25)[(5570,6,1),(10001,4,25)](10021,4,5)(10056,2,25)(10056,2,11)(10021,3,2)(10021,4,2)(10001,4,14)(10021,2,2)(10056,2,8)(10001,3,11)(10001,4,14)(10021,4,2)(10056,2,8)(10056,2,11)(10021,3,3)(10021,4,2)(10001,4,8)(10021,2,2)(10056,2,14)",1,0,0,0,0,0
16,1016,6,6,东阿-6,2,2,0,东阿 黄巾之乱第2关,1,36265,52016,52616,0,2,"(10021,5,1)(10021,7,2)(10021,6,1)(10001,4,8)(10021,3,2)(10106,5,6)(10106,7,10)(10001,6,18)(10001,4,18)(10106,3,18)(10021,5,4)(10021,7,4)(10021,6,1)(10001,4,8)(10021,3,2)(10106,5,6)(10106,7,10)(10001,6,4)(10001,4,8)(10106,4,8)",1,0,0,0,0,0
17,1017,7,6,东阿-7,2,1,0,东阿 黄巾之乱第2关,1,36265,52017,52617,0,2,"(10001,5,5)(10106,7,8)(10001,6,3)(10056,4,6)(10056,3,6)(10021,5,1)(10001,7,8)(10021,6,3)(10106,4,14)(10106,3,14)(10021,5,3)(10001,7,14)(10021,6,1)(10106,4,6)(10106,3,8)(10001,5,5)(10106,7,8)(10001,6,3)(10056,4,6)(10056,4,6)",1,0,0,0,0,0
18,1018,8,6,东阿-8,2,1,0,东阿 黄巾之乱第2关,1,120867,52018,52618,0,2,"(10056,5,4)(10056,7,9)(10021,6,2)(10001,4,7)(10021,3,2)(10056,5,4)(10056,7,9)(10021,6,2)(10001,4,7)(10021,3,2)(10106,5,4)(10001,7,9)(10056,6,11)(10056,4,7)[(5558,9,1),(10021,3,4)](10056,5,20)(10021,7,4)(10001,6,20)(10021,4,3)(10106,4,15)",1,0,0,0,0,0
19,1019,9,7,东阿-9,2,2,0,东阿 黄巾之乱第2关,1,90667,52019,52619,0,2,"(10001,4,6)(10021,6,2)(10056,5,15)(10056,3,9)(10056,2,12)(10021,4,1)(10001,6,12)(10021,5,3)(10001,3,9)(10021,2,2)(10056,4,6)(10056,6,12)(10056,5,15)(10021,3,2)(10001,2,27)(10021,4,5)(10021,6,5)(10106,5,27)(10106,3,21)(10021,3,4)",1,0,0,0,0,0
20,1020,10,7,东阿-10,2,3,0,东阿 黄巾之乱第2关,1,0,52020,52620,0,2,,1,20,0,0,0,0
21,1021,1,7,濮阳-1,3,1,0,濮阳 黄巾之乱第3关,1,25687,52021,52621,10076,3,"(10001,6,7)(10107,8,10)(10076,7,2)(10001,5,7)(10107,4,10)(10076,6,1)(10001,8,10)(10107,7,9)(10076,5,1)(10001,4,10)(10107,6,7)(10076,8,2)(10001,7,9)(10107,5,7)(10076,4,2)(10001,6,7)(10107,8,10)(10076,7,2)(10001,5,7)(10107,5,10)",1,0,0,0,0,0
22,1022,2,8,濮阳-2,3,1,0,濮阳 黄巾之乱第3关,1,36265,52022,52622,0,3,"(10001,5,7)(10001,7,12)(10021,6,1)(10076,4,2)(10076,3,2)(10021,5,1)(10001,7,12)(10001,6,21)(10021,4,4)(10076,3,4)(10076,5,4)(10021,7,4)(10001,6,5)(10001,4,9)(10021,3,2)(10076,5,1)(10076,7,2)(10021,6,1)(10001,4,9)(10001,4,9)",1,0,0,0,0,0
23,1023,3,8,濮阳-3,3,2,0,濮阳 黄巾之乱第3关,1,108787,52023,52623,0,3,"(10076,7,1)(10056,10,8)(10076,8,2)(10021,6,1)(10056,4,8)(10056,7,4)(10076,10,2)(10056,8,10)(10076,6,1)(10021,4,2)(10056,7,4)(10056,10,8)(10076,8,2)(10056,6,6)(10076,4,3)(10021,7,3)(10056,10,17)(10056,8,17)(10076,6,3)(10056,6,13)",1,0,0,0,0,0
24,1024,4,8,濮阳-4,3,1,0,濮阳 黄巾之乱第3关,1,24177,52024,52624,0,3,"(10106,5,11)(10021,7,3)(10106,6,13)(10106,4,11)(10002,3,16)(10002,5,11)(10106,7,16)(10021,6,3)(10106,4,11)(10106,3,16)(10002,5,11)(10002,7,16)(10106,6,13)(10021,4,2)(10106,3,16)(10106,5,11)(10002,7,16)(10002,6,13)(10106,4,11)(10021,4,3)",1,0,0,0,0,0
25,1025,5,9,濮阳-5,3,1,0,濮阳 黄巾之乱第3关,1,36265,52025,52625,0,3,"(10021,5,2)(10021,7,3)(10057,6,6)(10057,4,12)(10076,3,2)(10076,5,2)(10021,7,3)[(5569,8,1),(10021,6,6)][(5577,10,1),(10057,4,28)](10057,3,28)(10076,5,6)(10076,7,6)(10021,6,1)(10021,4,2)(10057,3,16)(10057,5,9)(10076,7,3)(10076,6,1)(10021,4,2)(10021,4,2)",1,0,0,0,0,0
26,1026,6,9,濮阳-6,3,2,0,濮阳 黄巾之乱第3关,1,114827,52026,52626,0,3,"(10001,8,5)(10076,11,2)(10106,10,12)(10001,6,7)(10001,5,9)(10076,8,1)(10106,11,9)(10001,10,12)(10076,6,1)(10106,5,9)(10001,8,5)(10001,11,9)(10076,10,2)(10106,6,7)(10001,5,21)(10076,8,4)(10106,11,21)(10001,10,21)(10001,6,16)(10076,6,3)",1,0,0,0,0,0
27,1027,7,9,濮阳-7,3,1,0,濮阳 黄巾之乱第3关,1,43060,52027,52627,0,3,"(10107,8,5)(10107,11,9)(10056,10,4)(10002,6,7)(10056,5,7)(10056,8,5)(10002,11,9)(10107,10,16)(10107,6,16)(10056,5,16)(10002,8,16)(10056,11,16)(10056,10,4)(10002,6,7)(10107,5,9)(10107,8,5)(10056,11,9)(10002,10,4)(10056,6,7)(10056,6,7)",1,0,0,0,0,0
28,1028,8,10,濮阳-8,3,1,0,濮阳 黄巾之乱第3关,1,16318,52028,52628,0,3,"(10021,7,5)[(5582,17,1),(10021,10,5)][(5581,11,2),(10107,8,23)](10076,6,5)(10021,4,2)(10107,7,8)(10107,10,10)(10021,8,3)(10021,6,2)(10107,4,8)(10076,7,2)(10021,10,3)(10107,8,10)(10107,6,8)(10021,4,2)(10021,7,3)(10107,10,10)(10076,8,2)(10021,6,2)(10107,6,13)",1,0,0,0,0,0
29,1029,9,10,濮阳-9,3,2,0,濮阳 黄巾之乱第3关,1,15412,52029,52629,0,3,"(10002,6,30)(10002,8,30)(10056,7,30)(10021,5,6)(10021,4,3)(10002,6,10)(10002,8,13)(10002,7,17)(10056,5,13)(10021,4,2)(10021,6,3)(10002,8,17)(10002,7,13)(10002,5,10)(10056,4,13)(10021,6,3)(10021,8,3)(10002,7,10)(10002,5,13)(10002,5,17)",1,0,0,0,0,0
30,1030,10,10,濮阳-10,3,3,0,濮阳 黄巾之乱第3关,1,0,52030,52630,0,3,,1,30,0,0,0,0
31,1031,1,11,小沛-1,4,1,0,小沛 北海攻略第1关,1,18130,52031,52631,10126,4,"(10076,9,4)(10076,13,4)(10107,11,18)(10126,7,4)(10107,5,8)(10076,9,1)(10076,13,2)(10107,11,10)(10126,7,2)(10107,5,6)(10076,9,2)(10076,13,2)(10107,11,8)(10126,7,1)(10107,5,8)(10076,9,2)(10076,13,2)(10107,11,6)(10126,7,2)(10107,7,10)",2,0,0,0,0,0
32,1032,2,11,小沛-2,4,1,0,小沛 北海攻略第1关,1,27197,52032,52632,0,4,"(10057,7,11)(10107,10,16)(10126,8,3)(10057,6,11)(10107,4,16)(10126,7,2)(10057,10,16)(10107,8,13)(10126,6,2)(10057,4,16)(10107,7,11)(10126,10,3)(10057,8,13)(10107,6,11)(10126,4,3)(10057,7,11)(10107,10,16)(10126,8,3)(10057,6,11)(10107,6,16)",2,0,0,0,0,0
33,1033,3,11,小沛-3,4,2,0,小沛 北海攻略第1关,1,49855,52033,52633,0,4,"(10002,11,7)(10002,15,11)(10107,13,4)(10076,9,2)(10076,7,2)(10107,11,7)(10002,15,11)(10002,13,20)(10107,9,20)(10076,7,4)(10076,11,4)(10107,15,20)(10002,13,4)(10002,9,9)(10107,7,11)(10076,11,1)(10076,15,2)(10107,13,4)(10002,9,9)(10002,9,9)",2,0,0,0,0,0
34,1034,4,11,小沛-4,4,1,0,小沛 北海攻略第1关,1,114827,52034,52634,0,4,"(10126,8,1)(10057,11,12)(10126,10,3)(10022,6,2)(10057,5,12)(10057,8,6)(10126,11,2)(10057,10,15)(10126,6,2)(10022,5,2)(10057,8,6)(10057,11,12)(10126,10,3)(10057,6,9)(10126,5,5)(10022,8,5)(10057,11,27)(10057,10,27)(10126,6,4)(10057,6,21)",2,0,0,0,0,0
35,1035,5,12,小沛-5,4,1,0,小沛 北海攻略第1关,1,56650,52035,52635,0,4,"(10107,7,10)(10076,10,3)(10107,8,7)(10107,6,14)(10002,4,14)(10002,7,10)(10107,10,17)[(5591,14,2),(10076,8,6)](10107,6,31)(10107,4,31)(10002,7,31)(10002,10,31)(10107,8,7)(10076,6,3)(10107,4,17)(10107,7,10)(10002,10,17)(10002,8,7)(10107,6,14)(10076,6,3)",2,0,0,0,0,0
36,1036,6,12,小沛-6,4,2,0,小沛 北海攻略第1关,1,34747,52036,52636,10011,4,"(10022,12,2)(10022,17,3)(10057,14,13)(10057,10,10)(10011,7,3)(10011,12,2)(10022,17,3)(10022,14,3)(10057,10,10)(10057,7,16)(10011,12,2)(10011,17,3)(10022,14,3)(10022,10,2)(10057,7,16)(10057,12,10)(10011,17,3)(10011,14,3)(10022,10,2)(10022,10,3)",2,0,0,0,0,0
37,1037,7,12,小沛-7,4,1,0,小沛 北海攻略第1关,1,20848,52037,52637,0,4,"(10022,12,4)(10011,17,4)(10126,14,4)(10022,10,4)(10022,7,2)(10011,12,1)(10126,17,2)(10022,14,2)(10011,10,2)(10126,7,1)(10022,12,2)(10022,17,2)(10011,14,2)(10126,10,1)(10022,7,2)(10011,12,2)(10126,17,2)(10022,14,1)(10022,10,2)(10011,10,2)",2,0,0,0,0,0
38,1038,8,12,小沛-8,4,1,0,小沛 北海攻略第1关,1,65710,52038,52638,0,4,"(10011,10,2)(10011,14,3)(10077,12,1)(10107,8,11)(10077,6,2)(10077,10,2)(10107,14,14)[(5594,22,1),(10011,12,5)][(5596,14,2),(10011,8,5)](10077,6,5)(10107,10,26)(10077,14,5)(10077,12,1)(10107,8,11)(10011,6,3)(10011,10,2)(10077,14,3)(10107,12,6)(10077,8,2)(10077,8,2)",2,0,0,0,0,0
39,1039,9,13,小沛-9,4,2,0,小沛 北海攻略第1关,1,120867,52039,52639,0,4,"(10057,9,7)(10057,13,15)(10002,11,19)(10126,7,2)(10057,5,15)(10002,9,7)(10002,13,15)(10057,11,19)(10057,7,11)(10002,5,15)(10126,9,1)(10057,13,15)(10002,11,19)(10002,7,11)(10057,5,33)(10057,9,33)(10002,13,33)(10126,11,7)(10057,7,26)(10002,7,26)",2,0,0,0,0,0
40,1040,10,13,小沛-10,4,3,0,小沛 北海攻略第1关,1,0,52040,52640,0,4,,2,40,0,0,0,0
41,1041,1,13,北海-1,5,1,0,北海 北海攻略第2关,1,52120,52041,52641,10066,5,"(10002,12,7)(10002,17,11)(10022,14,1)(10066,10,2)(10066,7,2)(10002,12,7)(10002,17,11)(10002,14,20)(10022,10,4)(10066,7,4)(10066,12,4)(10002,17,20)(10002,14,5)(10002,10,9)(10022,7,2)(10066,12,1)(10066,17,2)(10002,14,5)(10002,10,9)(10002,10,9)",2,0,0,0,0,0
42,1042,2,13,北海-2,5,1,0,北海 北海攻略第2关,1,19036,52042,52642,0,5,"(10057,10,27)(10057,14,27)(10002,12,27)(10066,8,5)(10002,6,12)(10057,10,9)(10057,14,12)(10002,12,15)(10066,8,2)(10002,6,9)(10057,10,12)(10057,14,15)(10002,12,12)(10066,8,2)(10002,6,12)(10057,10,15)(10057,14,12)(10002,12,9)(10066,8,2)(10002,8,15)",2,0,0,0,0,0
43,1043,3,14,北海-3,5,2,0,北海 北海攻略第2关,1,37767,52043,52643,0,5,"(10057,14,10)(10011,20,3)(10066,17,2)(10057,11,10)(10011,8,3)(10066,14,2)(10057,20,15)(10011,17,2)(10066,11,2)(10057,8,15)(10011,14,2)(10066,20,3)(10057,17,12)(10011,11,2)(10066,8,3)(10057,14,10)(10011,20,3)(10066,17,2)(10057,11,10)(10011,11,3)",2,0,0,0,0,0
44,1044,4,14,北海-4,5,1,0,北海 北海攻略第2关,1,126907,52044,52644,0,5,"(10107,10,7)(10107,14,13)(10126,12,3)(10066,8,2)(10066,6,3)(10126,10,1)(10107,14,13)(10107,12,17)(10126,8,2)(10066,6,3)(10066,10,1)(10126,14,3)(10107,12,17)(10107,8,10)(10126,6,6)(10066,10,6)(10066,14,6)(10126,12,6)(10107,8,23)(10107,8,23)",2,0,0,0,0,0
45,1045,5,14,北海-5,5,1,0,北海 北海攻略第2关,1,26284,52045,52645,0,5,"(10066,10,7)[(5575,14,2),(10057,14,35)][(5579,14,2),(10066,12,7)][(5595,23,1),(10107,8,35)](10057,6,15)(10057,10,12)(10066,14,3)(10057,12,19)(10066,8,3)(10107,6,12)(10057,10,15)(10057,14,19)(10066,12,3)(10057,8,12)(10066,6,3)(10107,10,19)(10057,14,15)(10057,12,12)(10066,8,3)(10057,8,19)",2,0,0,0,0,0
46,1046,6,14,北海-6,5,2,0,北海 北海攻略第2关,1,39277,52046,52646,0,5,"(10022,15,2)(10077,21,3)(10022,18,3)(10022,12,2)(10002,9,17)(10002,15,12)(10022,21,3)(10077,18,3)(10022,12,2)(10022,9,3)(10002,15,12)(10002,21,17)(10022,18,3)(10077,12,2)(10022,9,3)(10022,15,2)(10002,21,17)(10002,18,15)(10022,12,2)(10077,12,3)",2,0,0,0,0,0
47,1047,7,15,北海-7,5,1,0,北海 北海攻略第2关,1,58915,52047,52647,0,5,"(10126,15,1)(10126,21,2)(10057,18,5)(10057,12,9)(10066,9,2)(10066,15,1)(10126,21,2)(10126,18,4)(10057,12,21)(10057,9,21)(10066,15,4)(10066,21,4)(10126,18,1)(10126,12,2)(10057,9,12)(10057,15,7)(10066,21,2)(10066,18,1)(10126,12,2)(10126,12,2)",2,0,0,0,0,0
48,1048,8,15,北海-8,5,1,0,北海 北海攻略第2关,1,77035,52048,52648,0,5,"(10002,12,10)(10011,17,3)(10022,14,1)(10002,10,13)(10002,7,13)(10011,12,2)(10022,17,3)[(5573,29,1),(10002,14,29)][(5571,17,3),(10011,10,6)](10022,7,6)(10002,12,29)(10002,17,29)(10011,14,1)(10022,10,3)(10002,7,16)(10011,12,2)(10022,17,3)(10002,14,6)(10002,10,13)(10011,10,3)",2,0,0,0,0,0
49,1049,9,15,北海-9,5,2,0,北海 北海攻略第2关,1,138987,52049,52649,0,5,"(10126,12,2)(10126,17,3)(10077,14,4)(10057,10,12)(10077,7,3)(10077,12,2)(10057,17,16)(10126,14,4)(10126,10,2)(10077,7,3)(10057,12,8)(10077,17,3)(10077,14,4)(10057,10,12)(10126,7,7)(10126,12,7)(10077,17,7)(10057,14,37)(10077,10,6)(10077,10,6)",2,0,0,0,0,0
50,1050,10,15,北海-10,5,3,0,北海 北海攻略第2关,1,0,52050,52650,0,5,,2,50,0,0,0,0
51,1051,1,16,东武-1,6,1,0,东武 北海攻略第3关,1,39277,52051,52651,10116,6,"(10022,15,2)(10022,21,3)(10011,18,3)(10116,12,2)(10011,9,3)(10022,15,2)(10022,21,3)(10011,18,3)(10116,12,2)(10011,9,3)(10022,15,2)(10022,21,3)(10011,18,3)(10116,12,2)(10011,9,3)(10022,15,2)(10022,21,3)(10011,18,3)(10116,12,2)(10011,12,3)",2,0,0,0,0,0
52,1052,2,16,东武-2,6,1,0,东武 北海攻略第3关,1,36257,52052,52652,0,6,"(10057,13,13)(10057,18,20)(10108,16,17)(10078,10,3)(10116,8,4)(10057,13,13)(10057,18,20)(10108,16,17)(10078,10,3)(10116,8,4)(10057,13,13)(10057,18,20)(10108,16,17)(10078,10,3)(10116,8,4)(10057,13,13)(10057,18,20)(10108,16,17)(10078,10,3)(10116,10,4)",2,0,0,0,0,0
53,1053,3,16,东武-3,6,2,0,东武 北海攻略第3关,1,42297,52053,52653,0,6,"(10002,17,11)(10057,24,17)(10066,20,3)(10002,14,11)(10002,10,17)(10002,17,11)(10057,24,17)(10066,20,3)(10002,14,11)(10002,10,17)(10002,17,11)(10057,24,17)(10066,20,3)(10002,14,11)(10002,10,17)(10002,17,11)(10057,24,17)(10066,20,3)(10002,14,11)(10002,14,17)",2,0,0,0,0,0
54,1054,4,16,东武-4,6,1,0,东武 北海攻略第3关,1,21754,52054,52654,0,6,"(10108,13,33)(10078,18,7)(10057,16,33)(10116,10,7)(10057,8,15)(10108,13,11)(10078,18,3)(10057,16,18)(10116,10,3)(10057,8,11)(10108,13,15)(10078,18,4)(10057,16,15)(10116,10,2)(10057,8,15)(10108,13,18)(10078,18,3)(10057,16,11)(10116,10,3)(10057,10,18)",2,0,0,0,0,0
55,1055,5,17,东武-5,6,1,0,东武 北海攻略第3关,1,51357,52055,52655,0,6,"(10022,12,8)[(5587,26,1),(10066,17,8)][(5584,16,3),(10022,14,8)][(5588,26,1),(10011,10,8)](10022,7,3)(10022,12,3)(10066,17,3)(10022,14,4)(10011,10,3)(10022,7,3)(10022,12,3)(10066,17,4)(10022,14,3)(10011,10,3)(10022,7,3)(10022,12,4)(10066,17,3)(10022,14,3)(10011,10,3)(10022,10,4)",2,0,0,0,0,0
56,1056,6,17,东武-6,6,2,0,东武 北海攻略第3关,1,65710,52056,52656,0,6,"(10127,18,2)(10108,25,16)(10116,22,1)(10108,14,13)(10078,11,3)(10127,18,2)(10108,25,16)(10116,22,6)(10108,14,29)(10078,11,6)(10127,18,6)(10108,25,29)(10116,22,1)(10108,14,13)(10078,11,3)(10127,18,2)(10108,25,16)(10116,22,1)(10108,14,13)(10078,14,3)",2,0,0,0,0,0
57,1057,7,17,东武-7,6,1,0,东武 北海攻略第3关,1,65710,52057,52657,0,6,"(10057,18,8)(10002,25,13)(10057,22,5)(10116,14,2)(10002,11,10)(10057,18,8)(10002,25,13)(10057,22,23)(10116,14,5)(10002,11,23)(10057,18,23)(10002,25,23)(10057,22,5)(10116,14,2)(10002,11,13)(10057,18,8)(10002,25,13)(10057,22,5)(10116,14,2)(10002,14,10)",2,0,0,0,0,0
58,1058,8,17,东武-8,6,1,0,东武 北海攻略第3关,1,229587,52058,52658,0,6,"(10011,14,1)(10066,20,3)(10127,17,4)(10127,11,2)(10066,8,3)(10011,14,1)(10066,20,3)(10127,17,4)(10127,11,2)(10066,8,3)(10011,14,1)(10066,20,3)(10127,17,4)(10127,11,2)[(5592,27,2),(10066,8,6)][(5597,27,2),(10011,14,6)](10066,20,6)(10127,17,6)(10127,11,5)(10066,11,5)",2,0,0,0,0,0
59,1059,9,18,东武-9,6,2,0,东武 北海攻略第3关,1,151067,52059,52659,0,6,"(10116,14,2)(10002,20,18)(10011,17,4)(10011,11,3)(10057,8,18)(10116,14,2)(10002,20,18)(10011,17,4)(10011,11,3)(10057,8,18)(10116,14,2)(10002,20,18)(10011,17,4)(10011,11,3)(10057,8,40)(10116,14,8)(10002,20,40)(10011,17,8)(10011,11,6)(10057,11,31)",2,0,0,0,0,0
60,1060,10,18,东武-10,6,3,0,东武 北海攻略第3关,1,0,52060,52660,0,6,,2,60,0,0,0,0
61,1061,1,18,下邳-1,7,1,0,下邳 北海攻略第4关,1,45317,52061,52661,0,7,"(10066,19,2)(10057,27,17)(10022,23,3)(10057,15,11)(10057,11,17)(10066,19,2)(10057,27,17)(10022,23,3)(10057,15,11)(10057,11,17)(10066,19,2)(10057,27,17)(10022,23,3)(10057,15,11)(10057,11,17)(10066,19,2)(10057,27,17)(10022,23,3)(10057,15,11)(10057,15,17)",2,0,0,0,0,0
62,1062,2,18,下邳-2,7,1,0,下邳 北海攻略第4关,1,58915,52062,52662,0,7,"(10108,15,11)(10127,21,4)(10022,18,1)(10108,12,15)(10116,9,3)(10108,15,11)(10127,21,4)(10022,18,7)(10108,12,33)(10116,9,7)(10108,15,33)(10127,21,7)(10022,18,1)(10108,12,15)(10116,9,4)(10108,15,11)(10127,21,4)(10022,18,1)(10108,12,15)(10116,12,3)",2,0,0,0,0,0
63,1063,3,19,下邳-3,7,2,0,下邳 北海攻略第4关,1,187307,52063,52663,0,7,"(10108,20,6)(10057,28,12)(10116,24,3)(10116,16,2)(10078,12,2)(10108,20,6)(10057,28,12)(10116,24,3)(10116,16,2)(10078,12,2)(10108,20,6)(10057,28,12)(10116,24,3)(10116,16,2)(10078,12,5)(10108,20,27)(10057,28,27)(10116,24,5)(10116,16,4)(10078,16,4)",2,0,0,0,0,0
64,1064,4,19,下邳-4,7,1,0,下邳 北海攻略第4关,1,39277,52064,52664,0,7,"(10066,15,3)(10127,21,5)(10002,18,20)(10066,12,3)(10127,9,5)(10066,15,3)(10127,21,5)(10002,18,20)(10066,12,3)(10127,9,5)(10066,15,3)(10127,21,5)(10002,18,20)(10066,12,3)(10127,9,5)(10066,15,3)(10127,21,5)(10002,18,20)(10066,12,3)(10127,12,5)",2,0,0,0,0,0
