编号ID ,最小,最大,物品,几率,最少,最多
0,0,0,30005,10000,100,100
0,0,0,30003,10000,100,100
50042,0,0,0,0,0,0
0,0,0,30028,10000,60,60
0,0,0,30007,10000,2500,2500
0,0,0,30005,10000,100,100
0,0,0,30003,10000,100,100
50043,0,0,0,0,0,0
0,0,0,30028,10000,60,60
0,0,0,30007,10000,2500,2500
0,0,0,30005,10000,100,100
0,0,0,30003,10000,100,100
50044,1,1,0,0,0,0
0,0,0,35010,3330,10,10
0,0,0,35028,3330,10,10
0,0,0,35046,3340,10,10
50045,1,1,0,0,0,0
0,0,0,35001,3330,10,10
0,0,0,35019,3330,10,10
0,0,0,35037,3340,10,10
50046,1,1,0,0,0,0
0,0,0,35055,3330,10,10
0,0,0,35064,3330,10,10
0,0,0,35073,3340,10,10
50047,1,1,0,0,0,0
0,0,0,15057,2500,1,1
0,0,0,30009,1500,30,30
0,0,0,30007,2000,50,50
0,0,0,30012,1000,3,3
0,0,0,30002,3000,15,15
50048,0,0,0,0,0,0
0,0,0,15003,10000,10,10
0,0,0,15004,10000,10,10
0,0,0,15005,10000,10,10
0,0,0,15006,10000,10,10
0,0,0,15007,10000,10,10
50049,0,0,0,0,0,0
0,0,0,30007,10000,1,1
50050,0,0,0,0,0,0
0,0,0,30007,10000,1,1
0,0,0,30006,10000,1,1
0,0,0,30001,10000,1,1
50051,0,0,0,0,0,0
0,0,0,30007,10000,2,2
0,0,0,30006,10000,1,1
0,0,0,30001,10000,2,2
50052,0,0,0,0,0,0
0,0,0,30009,10000,1,1
0,0,0,30007,10000,2,2
0,0,0,30002,10000,1,1
0,0,0,30004,10000,1,1
50053,0,0,0,0,0,0
0,0,0,30009,10000,2,2
0,0,0,30007,10000,2,2
0,0,0,30003,10000,1,1
50054,0,0,0,0,0,0
0,0,0,30009,10000,5,5
0,0,0,30003,10000,2,2
0,0,0,30005,10000,1,1
50055,0,0,0,0,0,0
0,0,0,30009,10000,7,7
0,0,0,30003,10000,1,1
0,0,0,30005,10000,1,1
0,0,0,15001,10000,1,1
50056,0,0,0,0,0,0
0,0,0,30009,10000,10,10
0,0,0,30003,10000,2,2
0,0,0,30005,10000,2,2
0,0,0,15001,10000,2,2
50057,0,0,0,0,0,0
0,0,0,30009,10000,12,12
0,0,0,30003,10000,3,3
0,0,0,30005,10000,3,3
0,0,0,15001,10000,3,3
50058,0,0,0,0,0,0
0,0,0,30009,10000,15,15
0,0,0,30003,10000,4,4
0,0,0,30005,10000,4,4
0,0,0,15002,10000,1,1
50059,0,0,0,0,0,0
0,0,0,30009,10000,30,30
0,0,0,30003,10000,4,4
0,0,0,20022,10000,1,1
0,0,0,15002,10000,2,2
50060,0,0,0,0,0,0
0,0,0,30009,10000,30,30
0,0,0,30003,10000,4,4
0,0,0,30028,10000,1,1
0,0,0,15002,10000,2,2
50061,0,0,0,0,0,0
0,0,0,30009,10000,30,30
0,0,0,30003,10000,4,4
0,0,0,30028,10000,1,1
0,0,0,15002,10000,2, 
50062,0,0,0,0,0,0
0,0,0,30009,10000,30,30
0,0,0,30003,10000,4,4
0,0,0,30028,10000,1,1
0,0,0,15002,10000,2,2
50063,0,0,0,0,0,0
0,0,0,30009,10000,30,30
0,0,0,30003,10000,4,4
0,0,0,30028,10000,1,1
0,0,0,15002,10000,2,2
50064,0,0,0,0,0,0
0,0,0,2,10000,500,500
0,0,0,30007,10000,1,1
50065,0,0,0,0,0,0
0,0,0,2,10000,800,800
0,0,0,30001,10000,1,1
0,0,0,30007,10000,2,2
50066,0,0,0,0,0,0
0,0,0,2,10000,1000,1000
0,0,0,30009,10000,2,2
0,0,0,30001,10000,2,2
50067,0,0,0,0,0,0
0,0,0,2,10000,1500,1500
0,0,0,30009,10000,2,2
0,0,0,30007,10000,2,2
0,0,0,30006,10000,2,2
50068,0,0,0,0,0,0
0,0,0,2,10000,2000,2000
0,0,0,30007,10000,3,3
0,0,0,30009,10000,2,2
0,0,0,30002,10000,1,1
50069,0,0,0,0,0,0
0,0,0,2,10000,3000,3000
0,0,0,30002,10000,2,2
0,0,0,2,10000,2,2
50070,0,0,0,0,0,0
0,0,0,2,10000,4000,4000
0,0,0,30002,10000,2,2
0,0,0,30007,10000,5,5
0,0,0,15001,10000,1,1
50071,0,0,0,0,0,0
0,0,0,2,10000,5000,5000
0,0,0,30003,10000,1,1
0,0,0,30007,10000,10,10
0,0,0,15001,10000,1,1
50072,0,0,0,0,0,0
0,0,0,2,10000,10000,10000
0,0,0,30009,10000,3,3
0,0,0,30007,10000,2,2
0,0,0,30006,10000,1,1
0,0,0,30004,10000,1,1
50073,0,0,0,0,0,0
0,0,0,2,10000,20000,20000
0,0,0,30002,10000,2,2
0,0,0,30004,10000,2,2
50074,0,0,0,0,0,0
0,0,0,2,10000,20000,20000
0,0,0,30002,10000,3,3
0,0,0,30004,10000,2,2
0,0,0,15001,10000,1,1
0,0,0,1,10000,20,20
50075,0,0,0,0,0,0
0,0,0,2,10000,40000,40000
0,0,0,30009,10000,10,10
0,0,0,15001,10000,2,2
0,0,0,2,10000,50,50
50076,0,0,0,0,0,0
0,0,0,2,10000,40000,40000
0,0,0,30009,10000,15,15
0,0,0,15001,10000,3,3
0,0,0,1,10000,100,100
50077,0,0,0,0,0,0
0,0,0,2,10000,40000,40000
0,0,0,30002,10000,3,3
0,0,0,30009,10000,20,20
0,0,0,15001,10000,4,4
0,0,0,15002,10000,4,4
0,0,0,30004,10000,2,2
0,0,0,1,10000,100,100
50078,0,0,0,0,0,0
0,0,0,30003,10000,2,2
0,0,0,30005,10000,2,2
0,0,0,30007,10000,10,10
0,0,0,30009,10000,10,10
0,0,0,30008,10000,2,2
50078,0,0,0,0,0,0
0,0,0,30002,10000,2,2
0,0,0,30004,10000,2,2
0,0,0,30007,10000,3,3
0,0,0,30009,10000,2,2
0,0,0,30008,10000,1,1
50501,0,0,0,0,0,0
0,0,0,3,10000,132,132
0,0,0,2,10000,280,280
0,0,0,6,10000,2,2
50502,0,0,0,0,0,0
0,0,0,3,10000,165,165
0,0,0,2,10000,294,294
0,0,0,30007,10000,2,2
50503,0,0,0,0,0,0
0,0,0,3,10000,198,198
0,0,0,2,10000,308,308
0,0,0,6,10000,2,2
50504,0,0,0,0,0,0
0,0,0,3,10000,231,231
0,0,0,2,10000,323,323
0,0,0,6,10000,2,2
0,0,0,25013,10000,1,1
50505,0,0,0,0,0,0
0,0,0,3,10000,264,264
0,0,0,2,10000,338,338
0,0,0,30007,10000,2,2
50506,0,0,0,0,0,0
0,0,0,3,10000,247,247
0,0,0,2,10000,355,355
0,0,0,6,10000,2,2
50507,0,0,0,0,0,0
0,0,0,3,10000,275,275
0,0,0,2,10000,372,372
0,0,0,6,10000,2,2
0,0,0,30007,10000,3,3
0,0,0,15001,10000,1,1
50508,0,0,0,0,0,0
0,0,0,3,10000,302,302
0,0,0,2,10000,390,390
0,0,0,6,10000,2,2
50509,0,0,0,0,0,0
0,0,0,3,10000,330,330
0,0,0,2,10000,408,408
0,0,0,30007,10000,4,4
50510,0,0,0,0,0,0
0,0,0,3,10000,357,357
0,0,0,2,10000,428,428
0,0,0,6,10000,2,2
0,0,0,25022,10000,1,1
50511,0,0,0,0,0,0
0,0,0,3,10000,512,512
0,0,0,2,10000,449,449
0,0,0,30007,10000,5,5
50512,0,0,0,0,0,0
0,0,0,3,10000,550,550
0,0,0,2,10000,471,471
50513,0,0,0,0,0,0
0,0,0,3,10000,586,586
0,0,0,2,10000,494,494
0,0,0,30007,10000,6,6
0,0,0,15001,10000,1,1
50514,0,0,0,0,0,0
0,0,0,3,10000,622,622
0,0,0,2,10000,518,518
50515,0,0,0,0,0,0
0,0,0,3,10000,660,660
0,0,0,2,10000,543,543
0,0,0,25040,10000,1,1
50516,0,0,0,0,0,0
0,0,0,3,10000,1045,1045
0,0,0,2,10000,569,569
0,0,0,30007,10000,7,7
50517,0,0,0,0,0,0
0,0,0,3,10000,1100,1100
0,0,0,2,10000,597,597
50518,0,0,0,0,0,0
0,0,0,3,10000,1155,1155
0,0,0,2,10000,627,627
0,0,0,30007,10000,8,8
0,0,0,15001,10000,2,2
50519,0,0,0,0,0,0
0,0,0,3,10000,1210,1210
0,0,0,2,10000,658,658
50520,0,0,0,0,0,0
0,0,0,3,10000,1265,1265
0,0,0,2,10000,690,690
0,0,0,30007,10000,9,9
0,0,0,25031,10000,1,1
50521,0,0,0,0,0,0
0,0,0,3,10000,1056,1056
0,0,0,2,10000,723,723
50522,0,0,0,0,0,0
0,0,0,3,10000,1100,1100
0,0,0,2,10000,758,758
0,0,0,30007,10000,10,10
50523,0,0,0,0,0,0
0,0,0,3,10000,1144,1144
0,0,0,2,10000,796,796
0,0,0,15001,10000,3,3
50524,0,0,0,0,0,0
0,0,0,3,10000,1188,1188
0,0,0,2,10000,835,835
0,0,0,30007,10000,11,11
50525,0,0,0,0,0,0
0,0,0,3,10000,1232,1232
0,0,0,2,10000,876,876
0,0,0,25004,10000,1,1
50526,0,0,0,0,0,0
0,0,0,3,10000,1914,1914
0,0,0,2,10000,919,919
50527,0,0,0,0,0,0
0,0,0,3,10000,1980,1980
0,0,0,2,10000,964,964
0,0,0,30007,10000,12,12
50528,0,0,0,0,0,0
0,0,0,3,10000,2046,2046
0,0,0,2,10000,1012,1012
0,0,0,15001,10000,3,3
50529,0,0,0,0,0,0
0,0,0,3,10000,1920,1920
0,0,0,2,10000,1062,1062
0,0,0,30007,10000,13,13
50530,0,0,0,0,0,0
0,0,0,3,10000,1980,1980
0,0,0,2,10000,1114,1114
50531,0,0,0,0,0,0
0,0,0,3,10000,3400,3400
0,0,0,2,10000,1169,1169
0,0,0,30007,10000,14,14
50532,0,0,0,0,0,0
0,0,0,3,10000,3500,3500
0,0,0,2,10000,1226,1226
50533,0,0,0,0,0,0
0,0,0,3,10000,3600,3600
0,0,0,2,10000,1286,1286
0,0,0,30007,10000,15,15
0,0,0,25004,10000,1,1
50534,0,0,0,0,0,0
0,0,0,3,10000,3700,3700
0,0,0,2,10000,1349,1349
50535,0,0,0,0,0,0
0,0,0,3,10000,3800,3800
0,0,0,2,10000,1416,1416
0,0,0,30007,10000,16,16
50536,0,0,0,0,0,0
0,0,0,3,10000,4875,4875
0,0,0,2,10000,1486,1486
50537,0,0,0,0,0,0
0,0,0,3,10000,5000,5000
0,0,0,2,10000,1561,1561
50538,0,0,0,0,0,0
0,0,0,3,10000,5125,5125
0,0,0,2,10000,1638,1638
0,0,0,30007,10000,17,17
0,0,0,15001,10000,2,2
50539,0,0,0,0,0,0
0,0,0,3,10000,5250,5250
0,0,0,2,10000,1719,1719
50540,0,0,0,0,0,0
0,0,0,3,10000,5375,5375
0,0,0,2,10000,1804,1804
0,0,0,30007,10000,18,18
50541,0,0,0,0,0,0
0,0,0,3,10000,6160,6160
0,0,0,2,10000,1894,1894
50542,0,0,0,0,0,0
0,0,0,3,10000,6300,6300
0,0,0,2,10000,1988,1988
0,0,0,30007,10000,19,19
50543,0,0,0,0,0,0
0,0,0,3,10000,6440,6440
0,0,0,2,10000,2087,2087
0,0,0,25013,10000,1,1
50544,0,0,0,0,0,0
0,0,0,3,10000,6580,6580
0,0,0,2,10000,2191,2191
0,0,0,30007,10000,20,20
50545,0,0,0,0,0,0
0,0,0,3,10000,6270,6270
0,0,0,2,10000,2300,2300
50546,0,0,0,0,0,0
0,0,0,3,10000,7717,7717
0,0,0,2,10000,2415,2415
0,0,0,30007,10000,21,21
50547,0,0,0,0,0,0
0,0,0,3,10000,7875,7875
0,0,0,2,10000,2535,2535
50548,0,0,0,0,0,0
0,0,0,3,10000,8032,8032
0,0,0,2,10000,2661,2661
0,0,0,30007,10000,22,22
0,0,0,15001,10000,2,2
50549,0,0,0,0,0,0
0,0,0,3,10000,8190,8190
0,0,0,2,10000,2794,2794
50550,0,0,0,0,0,0
0,0,0,3,10000,8347,8347
0,0,0,2,10000,2933,2933
0,0,0,30007,10000,23,23
50551,0,0,0,0,0,0
0,0,0,3,10000,3150,3150
0,0,0,2,10000,3078,3078
50552,0,0,0,0,0,0
0,0,0,3,10000,3208,3208
0,0,0,2,10000,3231,3231
0,0,0,30007,10000,24,24
50553,0,0,0,0,0,0
0,0,0,3,10000,3266,3266
0,0,0,2,10000,3392,3392
50554,0,0,0,0,0,0
0,0,0,3,10000,3325,3325
0,0,0,2,10000,3561,3561
0,0,0,30007,10000,25,25
0,0,0,25022,10000,1,1
50555,0,0,0,0,0,0
0,0,0,2,10000,3383,3383
0,0,0,30007,10000,3739,3739
50556,0,0,0,0,0,0
0,0,0,3,10000,4160,4160
0,0,0,2,10000,3925,3925
0,0,0,30007,10000,25,25
50557,0,0,0,0,0,0
0,0,0,3,10000,4200,4200
0,0,0,2,10000,4121,4121
50558,0,0,0,0,0,0
0,0,0,3,10000,4270,4270
0,0,0,2,10000,4327,4327
0,0,0,30007,10000,25,25
50559,0,0,0,0,0,0
0,0,0,3,10000,4340,4340
0,0,0,2,10000,4543,4543
50560,0,0,0,0,0,0
0,0,0,3,10000,3150,3150
0,0,0,2,10000,4769,4769
0,0,0,30007,10000,25,25
0,0,0,15001,10000,2,2
50561,0,0,0,0,0,0
0,0,0,3,10000,3733,3733
0,0,0,2,10000,5007,5007
50562,0,0,0,0,0,0
0,0,0,3,10000,3791,3791
0,0,0,2,10000,5257,5257
0,0,0,30007,10000,25,25
50563,0,0,0,0,0,0
0,0,0,3,10000,3850,3850
0,0,0,2,10000,5518,5518
50564,0,0,0,0,0,0
0,0,0,3,10000,3908,3908
0,0,0,2,10000,5794,5794
0,0,0,30007,10000,25,25
50565,0,0,0,0,0,0
0,0,0,3,10000,3966,3966
0,0,0,2,10000,6083,6083
0,0,0,25040,10000,1,1
50566,0,0,0,0,0,0
0,0,0,3,10000,4600,4600
0,0,0,2,10000,6386,6386
0,0,0,30007,10000,25,25
50567,0,0,0,0,0,0
0,0,0,3,10000,4666,4666
0,0,0,2,10000,6706,6706
50568,0,0,0,0,0,0
0,0,0,3,10000,4733,4733
0,0,0,2,10000,7040,7040
0,0,0,30007,10000,25,25
50569,0,0,0,0,0,0
0,0,0,3,10000,4800,4800
0,0,0,2,10000,7392,7392
50570,0,0,0,0,0,0
0,0,0,3,10000,4866,4866
0,0,0,2,10000,7761,7761
0,0,0,30007,10000,25,25
50571,0,0,0,0,0,0
0,0,0,3,10000,5550,5550
0,0,0,2,10000,8149,8149
50572,0,0,0,0,0,0
0,0,0,3,10000,5625,5625
0,0,0,2,10000,8556,8556
0,0,0,30007,10000,25,25
50573,0,0,0,0,0,0
0,0,0,3,10000,5700,5700
0,0,0,2,10000,8983,8983
0,0,0,15001,10000,2,2
50574,0,0,0,0,0,0
0,0,0,3,10000,5775,5775
0,0,0,2,10000,9431,9431
0,0,0,30007,10000,25,25
50575,0,0,0,0,0,0
0,0,0,3,10000,5850,5850
0,0,0,2,10000,9902,9902
50576,0,0,0,0,0,0
0,0,0,3,10000,6583,6583
0,0,0,2,10000,10396,10396
0,0,0,30007,10000,25,25
50577,0,0,0,0,0,0
0,0,0,3,10000,6666,6666
0,0,0,2,10000,10915,10915
50578,0,0,0,0,0,0
0,0,0,3,10000,6750,6750
0,0,0,2,10000,11460,11460
0,0,0,30007,10000,25,25
50579,0,0,0,0,0,0
0,0,0,3,10000,6833,6833
0,0,0,2,10000,12033,12033
50580,0,0,0,0,0,0
0,0,0,3,10000,6916,6916
0,0,0,2,10000,12633,12633
0,0,0,30007,10000,25,25
0,0,0,25031,10000,1,1
50581,0,0,0,0,0,0
0,0,0,3,10000,4800,4800
0,0,0,2,10000,13265,13265
50582,0,0,0,0,0,0
0,0,0,3,10000,4857,4857
0,0,0,2,10000,13927,13927
0,0,0,30007,10000,25,25
50583,0,0,0,0,0,0
0,0,0,3,10000,4914,4914
0,0,0,2,10000,14623,14623
50584,0,0,0,0,0,0
0,0,0,3,10000,4971,4971
0,0,0,2,10000,15353,15353
0,0,0,30007,10000,25,25
50585,0,0,0,0,0,0
0,0,0,3,10000,5028,5028
0,0,0,2,10000,16121,16121
50586,0,0,0,0,0,0
0,0,0,3,10000,5933,5933
0,0,0,2,10000,16926,16926
0,0,0,30007,10000,25,25
50587,0,0,0,0,0,0
0,0,0,3,10000,6000,6000
0,0,0,2,10000,17771,17771
50588,0,0,0,0,0,0
0,0,0,3,10000,6066,6066
0,0,0,2,10000,18659,18659
0,0,0,30007,10000,25,25
0,0,0,15001,10000,2,2
50589,0,0,0,0,0,0
0,0,0,3,10000,6133,6133
0,0,0,2,10000,19591,19591
50590,0,0,0,0,0,0
0,0,0,3,10000,6200,6200
0,0,0,2,10000,20570,20570
0,0,0,30007,10000,25,25
50591,0,0,0,0,0,0
0,0,0,3,10000,7161,7161
0,0,0,2,10000,21597,21597
50592,0,0,0,0,0,0
0,0,0,3,10000,7238,7238
0,0,0,2,10000,22677,22677
0,0,0,30007,10000,25,25
50593,0,0,0,0,0,0
0,0,0,3,10000,7314,7314
0,0,0,2,10000,21809,21809
50594,0,0,0,0,0,0
0,0,0,3,10000,7390,7390
0,0,0,2,10000,24999,24999
0,0,0,30007,10000,25,25
50595,0,0,0,0,0,0
0,0,0,3,10000,7466,7466
0,0,0,2,10000,26248,26248
0,0,0,15002,10000,1,1
50596,0,0,0,0,0,0
0,0,0,3,10000,9428,9428
0,0,0,2,10000,27560,27560
0,0,0,30007,10000,25,25
50597,0,0,0,0,0,0
0,0,0,3,10000,9523,9523
0,0,0,2,10000,28938,28938
50598,0,0,0,0,0,0
0,0,0,3,10000,9619,9619
0,0,0,2,10000,30384,30384
0,0,0,30007,10000,25,25
50599,0,0,0,0,0,0
0,0,0,3,10000,9714,9714
0,0,0,2,10000,31903,31903
50600,0,0,0,0,0,0
0,0,0,3,10000,16186,16186
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50601,0,0,0,0,0,0
0,0,0,3,10000,16187,16187
0,0,0,2,10000,33497,33497
50602,0,0,0,0,0,0
0,0,0,3,10000,16188,16188
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50603,0,0,0,0,0,0
0,0,0,3,10000,16189,16189
0,0,0,2,10000,33497,33497
0,0,0,15002,10000,1,1
50604,0,0,0,0,0,0
0,0,0,3,10000,16190,16190
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50605,0,0,0,0,0,0
0,0,0,3,10000,16191,16191
0,0,0,2,10000,33497,33497
50606,0,0,0,0,0,0
0,0,0,3,10000,16192,16192
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50607,0,0,0,0,0,0
0,0,0,3,10000,16193,16193
0,0,0,2,10000,33497,33497
50608,0,0,0,0,0,0
0,0,0,3,10000,16194,16194
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50609,0,0,0,0,0,0
0,0,0,3,10000,16195,16195
0,0,0,2,10000,33497,33497
50610,0,0,0,0,0,0
0,0,0,3,10000,16195,16195
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50611,0,0,0,0,0,0
0,0,0,3,10000,11697,11697
0,0,0,2,10000,33497,33497
0,0,0,15002,10000,1,1
50612,0,0,0,0,0,0
0,0,0,3,10000,16198,16198
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50613,0,0,0,0,0,0
0,0,0,3,10000,16199,16199
0,0,0,2,10000,33497,33497
50614,0,0,0,0,0,0
0,0,0,3,10000,16200,16200
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50615,0,0,0,0,0,0
0,0,0,3,10000,11201,11201
0,0,0,2,10000,33497,33497
50616,0,0,0,0,0,0
0,0,0,3,10000,16201,16201
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50617,0,0,0,0,0,0
0,0,0,3,10000,16203,16203
0,0,0,2,10000,33497,33497
50618,0,0,0,0,0,0
0,0,0,3,10000,16186,16186
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50619,0,0,0,0,0,0
0,0,0,3,10000,16187,16187
0,0,0,2,10000,33497,33497
50620,0,0,0,0,0,0
0,0,0,3,10000,16188,16188
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50621,0,0,0,0,0,0
0,0,0,3,10000,16189,16189
0,0,0,2,10000,33497,33497
50622,0,0,0,0,0,0
0,0,0,3,10000,16190,16190
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50623,0,0,0,0,0,0
0,0,0,3,10000,16191,16191
0,0,0,2,10000,33497,33497
50624,0,0,0,0,0,0
0,0,0,3,10000,16192,16192
0,0,0,2,10000,33497,33497
0,0,0,30007,10000,25,25
50625,0,0,0,0,0,0
0,0,0,3,10000,16193,16193
0,0,0,2,10000,33497,33497
50626,0,0,0,0,0,0
0,0,0,3,10000,16194,16194
0,0,0,2,10000,33497,33497
